1905-06,1904-05,borough,station,1906-07,1907-08,1908-09,1909-10,1910-11,1911-12,1912-13,1913-14,1914-15,1915-16,1916-17,1917-18,1918-19,1919-20,1920-21,1921-22,1922-23,1923-24,1924-25,1925-26,1926-27,1927-28,1928-29,1929-30,1930-31,1931-32,1932-33,1933-34,1934-35,1935-36,1936-37,1937-38,1938-39,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988
0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,3726267,5863302,6505700,6712992,7206363,7425696,7305133,7493387,7559992,8103426,7878871,8018774,7752219,7193360,6060531,5818655,5809698,5876377,5605705,5336164,5563690,5988532,5827971,5881762,6213444,5950235,6144560,6917057,6610737,6198550,5608846,5431295,5156063,4887777,4634050,4292286,4314415,4251281,4080570,3923671,4101371,4209392,4214248,4472123,4432168,4473378,4354569,4099276,4138053,4179001,4227429,3685027,4677482,4775795,4680703,4528750,4547117,4507936,4263137,3877053,3554246,3146530,3021577,2823099,2895609,2805878,2930886,3096111,3219183,3513004,3443970,3238259,3111131,3009935,2862508,2759220,2685987,2736559,2718316,2492418,2400333,2278202,2413399,2428733,2436949,2686918,3071550,3366486
0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,2414028,3451361,3760100,3985820,4250360,4480724,4379589,4475249,4651251,5216961,5228707,5476072,5632658,5319512,4737061,4518333,4469127,4530241,4534704,4230678,4292046,4631546,4513302,4216561,4314506,4027215,4082458,4399193,4224225,4111321,3822295,3909103,3735674,3736845,3661662,3585054,3656403,3590856,3490452,3383034,3737009,3788917,3795798,3871711,3767760,3877503,3734160,3480530,3418783,3262100,3163504,2805750,3527112,3548645,3575889,3467608,3601420,3521210,3381107,3032917,2714499,2487188,2372343,2247251,2195334,2151441,2134100,2184568,2236434,2462742,2591623,2450763,2407065,2260636,2191064,2137091,2118929,2231547,2214574,2034228,1916452,1777293,1860288,1861525,1846372,1990945,2205925,2348280
0,0,1,13,0,0,0,0,0,0,0,0,0,0,78121,3197429,11812877,19660619,23071850,25009851,27772768,30151030,32073801,35596437,37974255,41885547,42922266,45164532,44815915,41834759,35743698,34052303,33941485,34646790,34947705,32736680,32804203,34241722,32755969,35061543,38469785,38506833,39417408,39705776,37392679,34688246,30188340,28267227,26864287,25702669,24779087,23634098,23337151,23166149,22582481,22108527,22039368,21833770,22064359,22296792,21640371,22151358,21160072,20055934,21041602,22296543,23476923,21544689,26362665,26140328,26121651,25995619,24403007,26331838,26533438,23866514,21163764,20453580,19826460,19149150,19320876,18949257,19167767,19656968,20161926,22608170,20606524,19017914,18024511,17886856,17053384,16470698,16441390,17141238,17490318,17275325,16738300,15867118,16606117,17224873,17992038,19602309,20588135,21839712
2539327,1401068,1,14,2997231,3372351,3801050,4257346,4515030,5151297,5779724,6123949,6706761,7471350,8789017,8788417,6956450,8023553,8361200,8421140,9006800,9609140,9902832,11512037,12839957,14972058,14987394,15331473,14652628,13793117,12225562,12419747,12710937,13082954,12861021,12336221,12614299,12940669,11125314,11281510,12381286,12240998,12802236,12836775,11590636,10731074,9149313,8531131,7717905,7199480,7193866,6536259,6213519,6514803,6301989,5852845,6356037,6737398,7142673,7819520,7698778,8166504,7903265,7344246,7707765,7163999,7019253,6401323,8151244,7917491,8028430,7757002,8001597,7945115,8052456,7382893,6796214,6078360,6021033,5735733,5444136,4897304,4922490,5334057,5690976,6441811,5991245,5894995,5604707,5408210,5193416,5063367,4980374,5232262,5318127,5127230,4728194,4384197,4259429,4244464,4201689,4796353,5687276,6294209
1909781,1190387,1,15,2317689,2597381,2810044,2967937,2923407,3051168,3175022,3149653,3077626,3313690,3872227,3982061,3597198,4620261,4664400,4562358,4654494,4672818,4595164,4677289,4743430,4965566,4901245,5069281,4822009,4517711,4104049,4049179,4001783,3890863,3832141,3730803,3735627,3845857,3594165,3289536,3298409,3513327,3778040,3940202,4134894,4106171,4253003,4349397,4064841,3924602,3813162,3226834,3135392,3230523,3102973,2746853,2300818,2257240,2325240,2753155,2788283,3066936,3145856,3281569,3769769,3699690,3621226,3422930,7271724,7096701,7134810,7014265,7100640,6663749,6674250,5537605,5123117,4192746,3921194,3623849,3414872,3114587,2988891,3062790,3287908,3802228,3388011,3294026,3170506,3195966,3080491,2900271,2810087,3082281,3156701,2864046,2721265,2464673,2513941,2537160,2604239,2849574,3283814,3624418
2722326,1695750,1,16,3214327,3543596,3812091,4168404,4102000,4318215,4554314,4534330,4586406,5032619,5767629,5953202,5765025,7093532,7634700,7999500,8800476,9501141,9805918,10424272,11239575,12336072,12440741,13068597,12771236,12318296,11275740,11294619,11299367,11081723,10725994,10265978,10360582,10497864,9981906,9815700,10032023,10172514,10718172,10845180,10524549,9963515,9437609,9382330,9068514,8893256,8686542,7994184,7740251,7805804,7685370,7590615,7100453,7149908,7203548,7639278,7472407,7536789,7317016,6734335,6978785,7078617,7209982,6717017,11012939,11244174,11137535,10329897,9707887,10328830,10432954,10137956,9606988,8825757,8804571,8675876,8233837,7968864,7771752,7612048,7634672,7875862,6393351,6172905,6189723,6150840,5923229,5702640,5730372,6106818,6321871,6196678,6321329,6174191,6325439,6501156,6657350,7091977,7588887,7900270
1795345,1099084,1,17,2076268,2341001,2524858,2624023,2519827,2685157,2791125,2839600,2937630,3128235,3493973,3496035,3281880,3992286,4067780,4002852,4194553,4527790,4633650,4958877,5313756,5837301,5874291,6282757,6297781,6162519,5855156,6028521,5970278,6007981,5655076,5330396,5490511,5440407,5118951,5064488,4972681,4868280,5092768,5065109,4965727,4784663,4524191,4401805,4215493,4028550,4010478,3705674,3532271,3530141,3403218,3280992,3409230,3537685,3550321,3827165,3687830,3713881,3637533,3444868,3632654,3671289,3816742,3462462,5459723,5473507,5455810,5179463,5393711,5182170,5319045,4930167,4596009,4013559,3967906,3936748,3785400,3419185,3305804,3230683,3298215,3594092,3351848,3142134,2997914,3003329,2941908,2815477,2811802,2944287,2993831,2778565,2669046,2522302,2712163,2737654,2763757,3107005,3444088,3587501
1935662,1277819,1,18,2168270,2414111,2685473,3007357,2906264,3030883,3086511,3185790,3268020,3522094,3973482,3932518,3671061,4689421,4929200,4931504,5025263,5410534,5614940,5894539,6237249,6917711,6994433,7320919,7236448,7034859,6547574,6582625,6667828,6732660,6457707,6242586,6408073,6524311,6094381,5936917,5922484,5832639,6064127,6078730,5813826,5558779,5366953,5239371,5018210,4914410,4901108,4444883,4336650,4404633,4256353,4169931,4688550,4997692,5049408,5341069,5075800,5053169,4743721,4288885,4497154,4439199,4496812,4092450,6169110,6151020,6101130,5826800,5973398,5781073,5867038,5517024,5298715,4634393,4621975,4489309,4381947,4175068,4089947,4047303,4152674,4404689,3920625,3829106,3728038,3737640,3574027,3456273,3496745,3689880,3745962,3498440,3319558,3106626,3193496,3173135,3253005,3560185,4023076,4250956
2951906,1810312,1,19,3421044,3872348,4241721,4652791,4581128,5107772,5488811,5558385,5613331,5952094,6855413,7172799,7226143,8148340,8354602,8520078,8822547,9187587,9205708,9604833,10314383,11043437,11139759,11343157,11046878,10545854,9710763,9896413,8744855,8747365,9350220,9035784,9254253,9316504,8771963,8532728,8184863,8095666,8501482,9041971,8605718,8188602,7798879,7524638,7116635,6976941,6857513,6292286,5900210,5852031,5682732,5617839,7491080,7897947,7870466,8144629,7825345,7483040,7209096,6668805,7045633,7305680,7804440,7618937,10890386,10832956,10778786,10890582,10143062,10421716,10631201,10177648,9203047,8539737,8553758,8475540,8224185,7992268,7849039,7891473,8093702,8445763,7525390,7139132,6809033,6784719,6524636,6218791,6234121,6738659,6991799,6815993,6948756,6804273,7156634,7182869,7392052,7602775,8053172,8330881
2457156,1590843,1,20,2582514,2822191,2954849,3123688,2954935,3188298,3411816,3471284,3354764,3496661,3880950,3899689,3524450,4297202,4422400,4382700,4407059,4642631,4577036,4778814,5052276,5627329,5621331,5940675,5983643,5744709,5245554,5385815,5499493,5528666,5363361,5207885,5327835,5543445,5210953,5098449,4984402,4909449,5114623,5330734,5257749,5088624,4890701,4735423,4516822,4528568,4487683,3924155,3402373,3350821,3235106,3324999,3478246,3615367,3573533,3870581,3766111,3771507,3720229,3508795,3658999,3744103,3891695,3690564,4314609,4177667,3990553,3434373,3957080,4012609,3969127,3646596,3726939,3294388,3276885,3166125,3010727,2853778,2755314,2595930,2392038,2752802,3496872,3335932,3176376,3136161,3022479,2839625,2764934,2812177,2809940,2600469,2415603,2311939,2447511,2415268,2347923,2535515,2617560,2848629
