borough,1938-39,1945,1935-36,1985,1915-16,1911-12,1940,1942,1972,1905-06,1921-22,1932-33,1988,1947,1997,1963,1918-19,1978,1969,1990,1953,1908-09,1995,1929-30,1961,1912-13,1970,1996,1926-27,1975,1984,1924-25,1950,1973,2005,1914-15,1931-32,1965,1933-34,1943,1907-08,1919-20,1948,1959,2006,1946,2002,1974,1957,1923-24,1954,1967,1951,1904-05,1928-29,1987,1966,2004,1909-10,1920-21,2000,1925-26,1930-31,1991,1981,1949,1910-11,1998,1976,1937-38,1962,1916-17,2001,1960,1994,1936-37,1958,station,1979,1977,1944,1956,1983,1992,1986,1952,1922-23,1913-14,1941,1968,1964,1989,2003,1934-35,1999,1917-18,1971,1980,1906-07,1982,1927-28,1955,1993
1,5563690,6144560,5876377,2436949,0,0,5988532,5881762,3238259,0,6712992,6060531,3366486,6610737,3146530,4432168,3726267,2736559,4227429,3219183,4634050,0,2823099,8018774,4214248,0,3685027,3021577,7559992,2862508,2428733,7305133,5431295,3111131,4775795,0,7193360,4354569,5818655,6213444,0,5863302,6198550,4101371,4677482,6917057,4547117,3009935,4080570,7425696,4292286,4138053,5156063,0,7878871,3071550,4099276,4680703,0,6505700,4263137,7493387,7752219,3096111,2400333,5608846,0,3554246,2759220,5336164,4472123,0,4507936,4209392,2895609,5605705,3923671,11,2718316,2685987,5950235,4251281,2413399,2930886,2686918,4887777,7206363,0,5827971,4179001,4473378,3513004,4528750,5809698,3877053,0,3443970,2492418,0,2278202,8103426,4314415,2805878
1,4292046,4082458,4530241,1846372,0,0,4631546,4216561,2450763,0,3985820,4737061,2348280,4224225,2487188,3767760,2414028,2231547,3163504,2236434,3661662,0,2247251,5476072,3795798,0,2805750,2372343,4651251,2191064,1861525,4379589,3909103,2407065,3548645,0,5319512,3734160,4518333,4314506,0,3451361,4111321,3737009,3527112,4399193,3601420,2260636,3490452,4480724,3585054,3418783,3735674,0,5228707,2205925,3480530,3575889,0,3760100,3381107,4475249,5632658,2184568,1916452,3822295,0,2714499,2137091,4230678,3871711,0,3521210,3788917,2195334,4534704,3383034,12,2214574,2118929,4027215,3590856,1860288,2134100,1990945,3736845,4250360,0,4513302,3262100,3877503,2462742,3467608,4469127,3032917,0,2591623,2034228,0,1777293,5216961,3656403,2151441
1,32804203,39417408,34646790,17992038,0,0,34241722,35061543,19017914,0,25009851,35743698,21839712,37392679,20453580,21640371,11812877,17141238,23476923,20161926,24779087,0,19149150,45164532,22064359,0,21544689,19826460,37974255,17053384,17224873,32073801,28267227,18024511,26140328,0,41834759,21160072,34052303,38469785,0,19660619,34688246,22039368,26362665,39705776,24403007,17886856,22582481,30151030,23634098,21041602,26864287,0,42922266,20588135,20055934,26121651,0,23071850,26533438,35596437,44815915,19656968,16738300,30188340,0,21163764,16470698,32736680,22296792,78121,26331838,21833770,19320876,34947705,22108527,13,17490318,16441390,38506833,23166149,16606117,19167767,19602309,25702669,27772768,0,32755969,22296543,22151358,22608170,25995619,33941485,23866514,3197429,20606524,17275325,0,15867118,41885547,23337151,18949257
1,12614299,12802236,13082954,4201689,7471350,5151297,12940669,11281510,5894995,2539327,8421140,12225562,6294209,11590636,6078360,7698778,6956450,5232262,7019253,5690976,7193866,3801050,5735733,15331473,7142673,5779724,6401323,6021033,12839957,5193416,4244464,9902832,8531131,5604707,7917491,6706761,13793117,7903265,12419747,12381286,3372351,8023553,10731074,6356037,8151244,12836775,8001597,5408210,6301989,9609140,6536259,7707765,7717905,1401068,14987394,5687276,7344246,8028430,4257346,8361200,8052456,11512037,14652628,5334057,4728194,9149313,4515030,6796214,5063367,12336221,7819520,8789017,7945115,6737398,5444136,12861021,5852845,14,5318127,4980374,12240998,6514803,4259429,4922490,4796353,7199480,9006800,6123949,11125314,7163999,8166504,6441811,7757002,12710937,7382893,8788417,5991245,5127230,2997231,4384197,14972058,6213519,4897304
1,3735627,3778040,3890863,2604239,3313690,3051168,3845857,3289536,3294026,1909781,4562358,4104049,3624418,4134894,4192746,2788283,3597198,3082281,3621226,3287908,3813162,2810044,3623849,5069281,2325240,3175022,3422930,3921194,4743430,3080491,2537160,4595164,4349397,3170506,7096701,3077626,4517711,3145856,4049179,3298409,2597381,4620261,4106171,2300818,7271724,3940202,7100640,3195966,3102973,4672818,3226834,3769769,4064841,1190387,4901245,3283814,3281569,7134810,2967937,4664400,6674250,4677289,4822009,3062790,2721265,4253003,2923407,5123117,2900271,3730803,2753155,3872227,6663749,2257240,3414872,3832141,2746853,15,3156701,2810087,3513327,3230523,2513941,2988891,2849574,3924602,4654494,3149653,3594165,3699690,3066936,3802228,7014265,4001783,5537605,3982061,3388011,2864046,2317689,2464673,4965566,3135392,3114587
1,10360582,10718172,11081723,6657350,5032619,4318215,10497864,9815700,6172905,2722326,7999500,11275740,7900270,10524549,8825757,7472407,5765025,6106818,7209982,7634672,8686542,3812091,8675876,13068597,7203548,4554314,6717017,8804571,11239575,5923229,6501156,9805918,9382330,6189723,11244174,4586406,12318296,7317016,11294619,10032023,3543596,7093532,9963515,7100453,11012939,10845180,9707887,6150840,7685370,9501141,7994184,6978785,9068514,1695750,12440741,7588887,6734335,11137535,4168404,7634700,10432954,10424272,12771236,7612048,6321329,9437609,4102000,9606988,5702640,10265978,7639278,5767629,10328830,7149908,8233837,10725994,7590615,16,6321871,5730372,10172514,7805804,6325439,7771752,7091977,8893256,8800476,4534330,9981906,7078617,7536789,7875862,10329897,11299367,10137956,5953202,6393351,6196678,3214327,6174191,12336072,7740251,7968864
1,5490511,5092768,6007981,2763757,3128235,2685157,5440407,5064488,3142134,1795345,4002852,5855156,3587501,4965727,4013559,3687830,3281880,2944287,3816742,3298215,4010478,2524858,3936748,6282757,3550321,2791125,3462462,3967906,5313756,2941908,2737654,4633650,4401805,2997914,5473507,2937630,6162519,3637533,6028521,4972681,2341001,3992286,4784663,3409230,5459723,5065109,5393711,3003329,3403218,4527790,3705674,3632654,4215493,1099084,5874291,3444088,3444868,5455810,2624023,4067780,5319045,4958877,6297781,3230683,2669046,4524191,2519827,4596009,2815477,5330396,3827165,3493973,5182170,3537685,3785400,5655076,3280992,17,2993831,2811802,4868280,3530141,2712163,3305804,3107005,4028550,4194553,2839600,5118951,3671289,3713881,3594092,5179463,5970278,4930167,3496035,3351848,2778565,2076268,2522302,5837301,3532271,3419185
1,6408073,6064127,6732660,3253005,3522094,3030883,6524311,5936917,3829106,1935662,4931504,6547574,4250956,5813826,4634393,5075800,3671061,3689880,4496812,4152674,4901108,2685473,4489309,7320919,5049408,3086511,4092450,4621975,6237249,3574027,3173135,5614940,5239371,3728038,6151020,3268020,7034859,4743721,6582625,5922484,2414111,4689421,5558779,4688550,6169110,6078730,5973398,3737640,4256353,5410534,4444883,4497154,5018210,1277819,6994433,4023076,4288885,6101130,3007357,4929200,5867038,5894539,7236448,4047303,3319558,5366953,2906264,5298715,3456273,6242586,5341069,3973482,5781073,4997692,4381947,6457707,4169931,18,3745962,3496745,5832639,4404633,3193496,4089947,3560185,4914410,5025263,3185790,6094381,4439199,5053169,4404689,5826800,6667828,5517024,3932518,3920625,3498440,2168270,3106626,6917711,4336650,4175068
1,9254253,8501482,8747365,7392052,5952094,5107772,9316504,8532728,7139132,2951906,8520078,9710763,8330881,8605718,8539737,7825345,7226143,6738659,7804440,8093702,6857513,4241721,8475540,11343157,7870466,5488811,7618937,8553758,10314383,6524636,7182869,9205708,7524638,6809033,10832956,5613331,10545854,7209096,9896413,8184863,3872348,8148340,8188602,7491080,10890386,9041971,10143062,6784719,5682732,9187587,6292286,7045633,7116635,1810312,11139759,8053172,6668805,10778786,4652791,8354602,10631201,9604833,11046878,7891473,6948756,7798879,4581128,9203047,6218791,9035784,8144629,6855413,10421716,7897947,8224185,9350220,5617839,19,6991799,6234121,8095666,5852031,7156634,7849039,7602775,6976941,8822547,5558385,8771963,7305680,7483040,8445763,10890582,8744855,10177648,7172799,7525390,6815993,3421044,6804273,11043437,5900210,7992268
1,5327835,5114623,5528666,2347923,3496661,3188298,5543445,5098449,3335932,2457156,4382700,5245554,2848629,5257749,3294388,3766111,3524450,2812177,3891695,2392038,4487683,2954849,3166125,5940675,3573533,3411816,3690564,3276885,5052276,3022479,2415268,4577036,4735423,3176376,4177667,3354764,5744709,3720229,5385815,4984402,2822191,4297202,5088624,3478246,4314609,5330734,3957080,3136161,3235106,4642631,3924155,3658999,4516822,1590843,5621331,2617560,3508795,3990553,3123688,4422400,3969127,4778814,5983643,2595930,2415603,4890701,2954935,3726939,2839625,5207885,3870581,3880950,4012609,3615367,3010727,5363361,3324999,20,2809940,2764934,4909449,3350821,2447511,2755314,2535515,4528568,4407059,3471284,5210953,3744103,3771507,2752802,3434373,5499493,3646596,3899689,3496872,2600469,2582514,2311939,5627329,3402373,2853778
