station,1904-05,1905-06,1906-07,1916-17,1908-09,1915-16,1917-18,1911-12,1912-13,1918-19,1929-30,1930-31,1928-29,1919-20,1926-27,1946,1925-26,1923-24,1921-22,1932-33,1933-34,1944,1942,1949,2002,2003,2000,1992,1991,1993,1990,1994,1995,1996,1976,1977,1997,1982,1984,1985,1983,1980,1981,1978,1989,1986,1979,1987,1988,1975,1974,1973,1972,1998,1971,1999,1970,1966,1968,1967,1969,1965,1963,1958,1959,1961,1960,1962,1957,1964,1956,1955,1954,2001,2004,2005,2006,1953,1952,1951,1950,1920-21,1922-23,1924-25,1914-15,1913-14,1941,1948,1934-35,1935-36,1937-38,1938-39,1936-37,1940,1931-32,1943,1945,1927-28,1947,1910-11,1909-10,1907-08,borough
11,0,0,0,0,0,0,0,0,0,3726267,8018774,7752219,7878871,5863302,7559992,6917057,7493387,7425696,6712992,6060531,5818655,5950235,5881762,5608846,4547117,4528750,4263137,2930886,3096111,2805878,3219183,2895609,2823099,3021577,2759220,2685987,3146530,2278202,2428733,2436949,2413399,2492418,2400333,2736559,3513004,2686918,2718316,3071550,3366486,2862508,3009935,3111131,3238259,3554246,3443970,3877053,3685027,4099276,4179001,4138053,4227429,4354569,4432168,3923671,4101371,4214248,4209392,4472123,4080570,4473378,4251281,4314415,4292286,4507936,4680703,4775795,4677482,4634050,4887777,5156063,5431295,6505700,7206363,7305133,0,0,5827971,6198550,5809698,5876377,5336164,5563690,5605705,5988532,7193360,6213444,6144560,8103426,6610737,0,0,0,1
12,0,0,0,0,0,0,0,0,0,2414028,5476072,5632658,5228707,3451361,4651251,4399193,4475249,4480724,3985820,4737061,4518333,4027215,4216561,3822295,3601420,3467608,3381107,2134100,2184568,2151441,2236434,2195334,2247251,2372343,2137091,2118929,2487188,1777293,1861525,1846372,1860288,2034228,1916452,2231547,2462742,1990945,2214574,2205925,2348280,2191064,2260636,2407065,2450763,2714499,2591623,3032917,2805750,3480530,3262100,3418783,3163504,3734160,3767760,3383034,3737009,3795798,3788917,3871711,3490452,3877503,3590856,3656403,3585054,3521210,3575889,3548645,3527112,3661662,3736845,3735674,3909103,3760100,4250360,4379589,0,0,4513302,4111321,4469127,4530241,4230678,4292046,4534704,4631546,5319512,4314506,4082458,5216961,4224225,0,0,0,1
13,0,0,0,78121,0,0,3197429,0,0,11812877,45164532,44815915,42922266,19660619,37974255,39705776,35596437,30151030,25009851,35743698,34052303,38506833,35061543,30188340,24403007,25995619,26533438,19167767,19656968,18949257,20161926,19320876,19149150,19826460,16470698,16441390,20453580,15867118,17224873,17992038,16606117,17275325,16738300,17141238,22608170,19602309,17490318,20588135,21839712,17053384,17886856,18024511,19017914,21163764,20606524,23866514,21544689,20055934,22296543,21041602,23476923,21160072,21640371,22108527,22039368,22064359,21833770,22296792,22582481,22151358,23166149,23337151,23634098,26331838,26121651,26140328,26362665,24779087,25702669,26864287,28267227,23071850,27772768,32073801,0,0,32755969,34688246,33941485,34646790,32736680,32804203,34947705,34241722,41834759,38469785,39417408,41885547,37392679,0,0,0,1
14,1401068,2539327,2997231,8789017,3801050,7471350,8788417,5151297,5779724,6956450,15331473,14652628,14987394,8023553,12839957,12836775,11512037,9609140,8421140,12225562,12419747,12240998,11281510,9149313,8001597,7757002,8052456,4922490,5334057,4897304,5690976,5444136,5735733,6021033,5063367,4980374,6078360,4384197,4244464,4201689,4259429,5127230,4728194,5232262,6441811,4796353,5318127,5687276,6294209,5193416,5408210,5604707,5894995,6796214,5991245,7382893,6401323,7344246,7163999,7707765,7019253,7903265,7698778,5852845,6356037,7142673,6737398,7819520,6301989,8166504,6514803,6213519,6536259,7945115,8028430,7917491,8151244,7193866,7199480,7717905,8531131,8361200,9006800,9902832,6706761,6123949,11125314,10731074,12710937,13082954,12336221,12614299,12861021,12940669,13793117,12381286,12802236,14972058,11590636,4515030,4257346,3372351,1
15,1190387,1909781,2317689,3872227,2810044,3313690,3982061,3051168,3175022,3597198,5069281,4822009,4901245,4620261,4743430,3940202,4677289,4672818,4562358,4104049,4049179,3513327,3289536,4253003,7100640,7014265,6674250,2988891,3062790,3114587,3287908,3414872,3623849,3921194,2900271,2810087,4192746,2464673,2537160,2604239,2513941,2864046,2721265,3082281,3802228,2849574,3156701,3283814,3624418,3080491,3195966,3170506,3294026,5123117,3388011,5537605,3422930,3281569,3699690,3769769,3621226,3145856,2788283,2746853,2300818,2325240,2257240,2753155,3102973,3066936,3230523,3135392,3226834,6663749,7134810,7096701,7271724,3813162,3924602,4064841,4349397,4664400,4654494,4595164,3077626,3149653,3594165,4106171,4001783,3890863,3730803,3735627,3832141,3845857,4517711,3298409,3778040,4965566,4134894,2923407,2967937,2597381,1
16,1695750,2722326,3214327,5767629,3812091,5032619,5953202,4318215,4554314,5765025,13068597,12771236,12440741,7093532,11239575,10845180,10424272,9501141,7999500,11275740,11294619,10172514,9815700,9437609,9707887,10329897,10432954,7771752,7612048,7968864,7634672,8233837,8675876,8804571,5702640,5730372,8825757,6174191,6501156,6657350,6325439,6196678,6321329,6106818,7875862,7091977,6321871,7588887,7900270,5923229,6150840,6189723,6172905,9606988,6393351,10137956,6717017,6734335,7078617,6978785,7209982,7317016,7472407,7590615,7100453,7203548,7149908,7639278,7685370,7536789,7805804,7740251,7994184,10328830,11137535,11244174,11012939,8686542,8893256,9068514,9382330,7634700,8800476,9805918,4586406,4534330,9981906,9963515,11299367,11081723,10265978,10360582,10725994,10497864,12318296,10032023,10718172,12336072,10524549,4102000,4168404,3543596,1
17,1099084,1795345,2076268,3493973,2524858,3128235,3496035,2685157,2791125,3281880,6282757,6297781,5874291,3992286,5313756,5065109,4958877,4527790,4002852,5855156,6028521,4868280,5064488,4524191,5393711,5179463,5319045,3305804,3230683,3419185,3298215,3785400,3936748,3967906,2815477,2811802,4013559,2522302,2737654,2763757,2712163,2778565,2669046,2944287,3594092,3107005,2993831,3444088,3587501,2941908,3003329,2997914,3142134,4596009,3351848,4930167,3462462,3444868,3671289,3632654,3816742,3637533,3687830,3280992,3409230,3550321,3537685,3827165,3403218,3713881,3530141,3532271,3705674,5182170,5455810,5473507,5459723,4010478,4028550,4215493,4401805,4067780,4194553,4633650,2937630,2839600,5118951,4784663,5970278,6007981,5330396,5490511,5655076,5440407,6162519,4972681,5092768,5837301,4965727,2519827,2624023,2341001,1
18,1277819,1935662,2168270,3973482,2685473,3522094,3932518,3030883,3086511,3671061,7320919,7236448,6994433,4689421,6237249,6078730,5894539,5410534,4931504,6547574,6582625,5832639,5936917,5366953,5973398,5826800,5867038,4089947,4047303,4175068,4152674,4381947,4489309,4621975,3456273,3496745,4634393,3106626,3173135,3253005,3193496,3498440,3319558,3689880,4404689,3560185,3745962,4023076,4250956,3574027,3737640,3728038,3829106,5298715,3920625,5517024,4092450,4288885,4439199,4497154,4496812,4743721,5075800,4169931,4688550,5049408,4997692,5341069,4256353,5053169,4404633,4336650,4444883,5781073,6101130,6151020,6169110,4901108,4914410,5018210,5239371,4929200,5025263,5614940,3268020,3185790,6094381,5558779,6667828,6732660,6242586,6408073,6457707,6524311,7034859,5922484,6064127,6917711,5813826,2906264,3007357,2414111,1
19,1810312,2951906,3421044,6855413,4241721,5952094,7172799,5107772,5488811,7226143,11343157,11046878,11139759,8148340,10314383,9041971,9604833,9187587,8520078,9710763,9896413,8095666,8532728,7798879,10143062,10890582,10631201,7849039,7891473,7992268,8093702,8224185,8475540,8553758,6218791,6234121,8539737,6804273,7182869,7392052,7156634,6815993,6948756,6738659,8445763,7602775,6991799,8053172,8330881,6524636,6784719,6809033,7139132,9203047,7525390,10177648,7618937,6668805,7305680,7045633,7804440,7209096,7825345,5617839,7491080,7870466,7897947,8144629,5682732,7483040,5852031,5900210,6292286,10421716,10778786,10832956,10890386,6857513,6976941,7116635,7524638,8354602,8822547,9205708,5613331,5558385,8771963,8188602,8744855,8747365,9035784,9254253,9350220,9316504,10545854,8184863,8501482,11043437,8605718,4581128,4652791,3872348,1
20,1590843,2457156,2582514,3880950,2954849,3496661,3899689,3188298,3411816,3524450,5940675,5983643,5621331,4297202,5052276,5330734,4778814,4642631,4382700,5245554,5385815,4909449,5098449,4890701,3957080,3434373,3969127,2755314,2595930,2853778,2392038,3010727,3166125,3276885,2839625,2764934,3294388,2311939,2415268,2347923,2447511,2600469,2415603,2812177,2752802,2535515,2809940,2617560,2848629,3022479,3136161,3176376,3335932,3726939,3496872,3646596,3690564,3508795,3744103,3658999,3891695,3720229,3766111,3324999,3478246,3573533,3615367,3870581,3235106,3771507,3350821,3402373,3924155,4012609,3990553,4177667,4314609,4487683,4528568,4516822,4735423,4422400,4407059,4577036,3354764,3471284,5210953,5088624,5499493,5528666,5207885,5327835,5363361,5543445,5744709,4984402,5114623,5627329,5257749,2954935,3123688,2822191,1
21,728014,1244683,1441739,3970990,2203715,3673180,3841110,3367655,3582640,3708005,5319294,5177342,5006843,4324204,4863024,4653697,4657991,4593243,4258473,4606128,4836714,4304399,4288695,4017516,4163552,3731184,4172774,3049592,2779157,3105691,2831603,3236810,3204475,3327156,2840396,2770282,3397677,2704938,2760158,2686069,2759710,2910180,2821642,2963430,3170132,2908164,3080741,3046508,3237337,2984440,3122236,3083837,3166646,4132291,3349694,3911988,3351589,3173367,3371056,3296978,3520381,3408836,3521830,3192558,3275613,3436929,3359226,3686375,3085613,3537967,3154033,3147844,3281556,4280205,4075424,4107802,4138496,3592514,3564901,3650626,3874590,4327500,4419768,4503408,3542667,3586954,4465801,4305052,4981043,5020548,4860530,4873726,5014636,4743035,4947229,4283456,4458529,5123372,4520765,2992873,2757877,1769187,1
