station,1904-05,1905-06,1906-07,1916-17,1908-09,1915-16,1917-18,1911-12,1912-13,1918-19,1929-30,1930-31,1928-29,1919-20,1926-27,1946,1925-26,1923-24,1921-22,1932-33,1933-34,1944,1942,1949,2002,2003,2000,1992,1991,1993,1990,1994,1995,1996,1976,1977,1997,1982,1984,1985,1983,1980,1981,1978,1989,1986,1979,1987,1988,1975,1974,1973,1972,1998,1971,1999,1970,1966,1968,1967,1969,1965,1963,1958,1959,1961,1960,1962,1957,1964,1956,1955,1954,2001,2004,2005,2006,1953,1952,1951,1950,1920-21,1922-23,1924-25,1914-15,1913-14,1941,1948,1934-35,1935-36,1937-38,1938-39,1936-37,1940,1931-32,1943,1945,1927-28,1947,1910-11,1909-10,1907-08,borough
82,0,0,0,84620,0,0,320080,0,0,371482,1081828,1277781,966808,411960,813524,1343399,744997,690346,614377,1226247,1291291,1174039,1365738,1232792,1389294,1312905,1346068,835468,866576,845061,873993,851480,858229,878116,901841,897357,901101,791535,750391,786763,751108,931656,873911,964287,930301,821665,1005616,925886,895159,930937,976545,1062372,1264525,1128878,1306269,1217640,1225509,1133524,1192055,1176033,1271679,1243969,1232481,1044679,1058646,1115927,1093153,1200478,1049914,1312280,1070661,1089970,1161226,1407781,1224429,1229700,1644660,1340813,1379413,1396352,1270833,561240,647985,714362,0,0,1400507,1277315,1346053,1456283,1430832,1480465,1452810,1567360,1235175,1254760,1196665,860188,1317969,0,0,0,2
83,0,0,0,162300,0,0,387600,0,0,454580,1307463,1340123,1179382,563820,1041879,1096969,947143,843499,732102,1266113,1268256,1044430,1158462,912125,741437,747100,719899,592482,612571,615480,599427,629868,624679,633725,651616,670446,637678,600799,590570,607936,615771,701648,657791,717437,581680,596987,746649,601837,636232,658430,701331,725682,765694,675640,773360,690935,782732,820346,848009,857337,847639,870847,867635,668227,744194,808396,768885,846926,616378,890253,615052,604820,616128,725271,755902,941013,513898,696487,700257,726711,830595,698600,752679,857803,0,0,1121631,1022714,1290272,1272804,1176945,1198860,1234789,1155682,1331701,1111018,1031235,1133853,1093831,0,0,0,2
84,0,0,0,72900,0,0,325800,0,0,375900,1722344,1777748,1565242,480960,1159243,1413715,984479,704749,592880,1658455,1681694,1353230,1508588,1143383,966368,959801,872369,772636,800977,758617,745590,788165,792815,795080,882141,892284,776057,833259,827145,840589,838837,881140,872715,917594,832588,837290,955021,843457,839646,898284,951354,966536,1000515,826341,1152679,854453,1180872,1206038,1284745,1277198,1273544,1317130,1287824,1078646,1107236,1207715,1176299,1270434,1066936,1335386,1042885,1021762,1114137,901909,934142,676623,1265222,1103274,893178,926687,1043714,537940,616604,805061,0,0,1437936,1291625,1655093,1674841,1475271,1436536,1589091,1428631,1748562,1412655,1333599,1364513,1377724,0,0,0,2
85,0,0,0,58440,0,0,262360,0,0,305900,1485640,1656880,1215458,387100,857318,1479567,739021,532004,476940,1668404,1660749,1409725,1505407,1287403,1309659,1276372,1302185,1043102,1072472,1077928,1029587,1115506,1137594,1137976,1008538,1029012,1147091,1004282,1023490,1036949,1059236,1116886,1049215,1133402,1099703,1058280,1212250,1094222,1119713,1064518,1123499,1145959,1197971,1222232,1094494,1255562,1101226,1047837,1098219,1079174,1154693,1124967,1159577,1063255,1099428,1150235,1113003,1160959,1069171,1181293,1028863,1002238,995053,1283596,1250222,1357525,1056953,982365,1011279,1077648,1220755,440700,467467,626491,0,0,1508326,1395617,1622572,1672561,1611435,1651814,1597031,1639134,1684867,1458690,1403521,1010721,1446596,0,0,0,2
86,0,0,0,239460,0,0,1164240,0,0,1215600,894936,963490,851101,1440700,749214,1268176,648316,437669,270100,1226733,1389428,1278546,1478771,1057908,819725,817459,811342,487922,489629,542994,493338,562008,591405,601817,454655,454948,627588,443458,443888,445684,460229,472932,461229,478849,547013,467932,505150,492251,491818,476432,525248,553444,604631,709562,636664,748373,670194,806913,743490,788116,737291,899167,920385,824045,846848,875431,851684,929602,807156,954583,798935,772329,756675,798970,801268,1139170,690663,811235,809122,849314,963217,858600,328867,526450,0,0,1431638,1184840,1455897,1599241,1402575,1475530,1487897,1506380,1034029,1411927,1207386,792834,1243089,0,0,0,2
87,0,0,0,0,0,0,0,0,0,0,2902836,3064587,2592148,0,2280842,2045716,2223185,2011265,1975500,3351660,3206521,2052774,2694937,1712285,1087358,1114389,992541,930520,939758,941235,904302,972640,955461,975042,1013565,1001095,957633,922052,938059,962193,1019703,989143,961622,1047530,955495,966410,1050522,994115,969924,1047599,1116014,1160518,1188952,1014530,1195844,1064656,1240295,1351141,1292474,1377996,1343852,1486281,1461924,1292675,1340173,1464431,1389411,1475578,1288065,1541990,1269931,1235101,1280901,1045011,1101554,664270,1132407,1341614,1426793,1539081,1630044,967400,1999401,2049614,0,0,2756370,1875476,2981907,2931269,2947881,3194754,2783727,2975292,3187041,2331209,1952881,2448814,1950054,0,0,0,2
88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103853,0,0,0,0,0,116151,123102,100247,444319,433831,418034,199028,175013,256761,267532,285975,315760,356617,357414,344343,364721,285964,278735,291521,270094,307249,294701,346518,270814,317459,330254,311863,269345,360734,359669,358986,355875,422950,340995,431820,372176,397958,399162,415229,402900,416719,366166,289237,319280,360947,349312,387070,229421,376989,157558,143623,127334,445159,456571,489782,554611,120848,96678,97259,95796,0,0,0,0,0,63443,106802,0,0,0,0,0,0,0,117130,103556,0,102772,0,0,0,2
89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74653,0,0,0,0,0,81617,89698,72959,696860,694114,641137,412262,427113,395045,413082,410359,444797,480796,501727,485629,495493,409715,406353,411490,399597,441158,423182,505884,417178,436038,489518,434051,423774,504961,520909,504693,509102,605027,493962,641922,537210,594287,605994,613793,601280,600111,586026,413219,463452,528012,504792,597966,296012,598722,176686,170966,157479,665085,732950,798976,830675,130886,92336,84385,92813,0,0,0,0,0,45690,82127,0,0,0,0,0,0,0,82521,76097,0,76108,0,0,0,2
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229102,0,0,0,0,0,233223,239328,224371,1573545,1519853,1449127,1125845,1133989,1128570,1050963,1128658,1163770,1157123,1242928,1239963,1242161,1093098,1138094,1156114,1117073,1211426,1143990,1274499,1168578,1173872,1276217,1174825,1171574,1252013,1246768,1204162,1169995,1456385,1140973,1553395,1162147,1120007,1193097,1189849,1208315,1128253,1145449,761954,845239,1093567,1051382,1159242,589934,1155617,423094,413726,387433,1532449,1590836,1644704,1717442,345512,270759,247687,252766,0,0,0,0,0,131565,240405,0,0,0,0,0,0,0,225019,218943,0,226225,0,0,0,2
91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61826,0,0,0,0,0,60644,55179,62984,971895,957821,924798,552132,456228,597104,558529,609944,674561,728625,613393,614639,759343,617031,642262,634138,625373,677546,655462,657737,622557,655103,695606,691083,623568,594451,603571,586796,590828,876823,616562,904578,645291,504888,625983,576073,702783,447823,330128,187137,215009,256370,241709,295359,129868,388469,66309,66518,67954,956529,992462,1007547,1085754,59281,55559,57419,61715,0,0,0,0,0,29106,66168,0,0,0,0,0,0,0,54996,62642,0,65006,0,0,0,2
92,0,0,0,0,0,0,0,0,0,1318385,2031613,1980798,1999898,1898680,1920019,1687972,2048649,2026448,2111060,1717944,1637737,1451128,1578034,1697527,1727620,1731874,1452578,1051517,1085268,1073841,1150491,1090685,1105449,1076870,1274013,1242298,1069772,1096272,1154215,1151438,1171562,1189489,1177997,1280948,1191335,1173885,1276665,1257737,1286374,1434573,1520045,1595707,1695554,1309163,1830812,1373246,1955642,2121227,2195976,2181628,2173459,1854063,1694293,2388541,2416585,2147546,2331318,1842739,2443699,1712895,2436490,2253445,1971015,1575887,1859424,1878180,2031493,2024094,1993594,1803174,1702303,2199240,1953618,2041539,0,0,1556362,1801287,1580442,1687530,1625252,1602099,1685729,1574159,1864279,1528320,1507973,2003739,1796266,0,0,0,2
93,0,0,0,0,0,0,0,0,0,1410140,4522259,4513070,4399572,3924480,4281730,4486558,4442631,4257037,4278340,4048513,3998589,3625553,3857601,4224845,1656656,1699350,1474818,1004978,1027249,1004664,1060137,1046533,1042899,1025440,1249632,1141920,1028730,922534,955758,1001019,971373,1105421,1031615,1173628,1183260,1015796,1207706,1115397,1166419,1409798,1561190,1729069,1897045,1257845,2050404,1330707,2229800,3024046,2811306,2891279,2652068,3432158,3691658,3473994,3732829,3710989,3861744,3807707,3462696,3567874,3423358,3522702,3723948,1573905,1732053,1780295,1722026,4099498,4124453,3978477,4070514,4337180,4141369,4282831,0,0,3732982,4558297,3880695,4023549,3883569,3855928,4025558,3811250,4811073,3820295,3886578,4413824,4553511,0,0,0,2
94,0,0,0,0,0,0,0,0,0,617210,3718365,3683919,3140971,1704150,2936182,2950117,2761827,2210308,2035960,2948162,3002101,2546504,2743035,2797142,863821,862614,763070,448950,420164,487479,456031,543421,554023,550978,725181,633635,581707,406128,436973,469742,435702,568004,494104,628853,516998,460920,621935,491533,512044,791955,886343,1002444,1122939,667164,1230452,714152,1353633,1694831,1634154,1687869,1587909,1926242,1982277,1935024,1994087,2016664,2035399,2051807,1958248,1961176,2061125,2047603,2177717,807611,873732,939542,972373,2369005,2444025,2490794,2686228,1925060,2043562,2324945,0,0,2633036,2988712,2979259,3198819,2974031,2849719,3190115,2774550,3338284,2644554,2685250,3232481,3023009,0,0,0,2
95,0,0,0,0,0,0,0,0,0,122950,934230,967409,805140,392605,665076,1016522,641597,594040,470588,894273,864272,993775,1061840,960034,278303,278239,230725,124441,110548,138106,117337,155248,165266,165651,352917,270969,143267,141826,132546,126568,125507,213034,193191,265954,131679,123779,245647,127493,130677,494518,546696,576422,642092,190324,687040,194144,701197,771347,797472,798259,792440,864289,826931,837896,825144,829568,872591,857734,847627,862141,838976,819005,782996,255783,279588,271348,273671,923389,916881,910425,971257,442947,571473,560247,0,0,1043156,1059950,980082,1065634,1103994,1030734,1134820,1031188,978151,1058590,989839,767313,1036417,0,0,0,2
96,0,0,0,0,0,0,0,0,0,698520,2889578,2933590,2724297,1904180,2631518,2936795,2533727,2143044,1963800,2467617,2553373,2500313,2526843,2558183,1174670,1205275,1045618,532487,501689,595625,454674,638258,652985,661936,762302,628832,682301,428580,433151,435507,421274,509850,474666,596257,451779,415980,574352,464012,449627,914798,1051228,1254856,1451536,886210,1633223,929906,1744292,1965858,1946319,1964310,1973079,2195079,2276692,2133492,2183128,2266168,2248756,2318329,2100570,2233203,2053873,2002350,2035505,1083833,1259948,1366935,1331444,2217307,2292648,2344086,2427769,1992200,2017838,2265741,0,0,2463311,2848755,2587778,2682241,2632589,2596961,2716229,2536458,2744068,2535903,2702969,2659821,2975939,0,0,0,2
97,0,0,0,0,0,0,0,0,0,602590,2423972,2458855,2428734,1608700,2393145,2265727,2336240,2043139,1630230,2106433,2105379,2013808,2015850,1943895,865496,914897,766008,491939,521424,524087,492007,559340,553679,564339,529767,518377,594860,422508,458033,465891,436666,484184,480108,520449,533439,458266,516124,528750,524663,599255,665735,795594,918079,701655,1047203,688755,1142965,1370350,1338949,1346391,1332667,1535195,1642667,1677068,1720644,1721374,1732963,1718124,1640887,1577190,1584271,1543869,1557080,808127,991343,1031385,1017825,1650479,1690058,1721497,1820033,1656850,1799883,2189603,0,0,1999290,2141313,2083123,2152659,2113549,2122094,2150357,2074113,2315104,2035191,2092012,2445588,2231397,0,0,0,2
98,0,0,0,0,0,0,0,0,0,792500,3403986,3834971,3376580,2211000,3195907,3127764,3005664,2436492,2187582,2876048,2943695,2826651,2646758,3099310,2820144,2819504,2499700,1599941,1640836,1706635,1734890,1830997,1805660,1817764,1621059,1595677,1829976,1639347,1750800,1863405,1712801,1647410,1715506,1650699,1896564,1859778,1689680,2008830,1919190,1809366,1983816,2145806,2290047,2158528,2352258,2354165,2543337,2716875,2724640,2802914,2822170,2960229,2943730,2692451,2845870,2901001,2889824,2990162,2643212,2975401,2596814,2510841,2469405,2622658,2973060,3019773,3088334,2652576,2714667,2813304,2941040,2350500,2251754,2621169,0,0,2530144,3379944,2988541,3117477,2861393,2738764,3024703,2632422,3111220,2785568,2893783,3248889,3401826,0,0,0,2
99,0,0,0,0,0,0,0,0,0,0,553954,609996,474390,8175,305410,749079,239300,102730,93095,583120,621340,674799,679427,692678,401770,402958,344712,167097,152891,212026,173476,233719,234300,234660,206238,166544,241069,141634,140867,155201,141027,151861,154416,148684,167876,154236,140105,170292,178821,255361,318463,392426,460328,304062,532055,302548,598379,723868,707298,725665,675507,805312,856541,702085,748991,801564,793216,849042,644344,834885,595614,559463,553096,374535,452648,465565,476628,577363,560748,569584,630772,73375,92595,141115,0,0,644127,785717,669150,702340,669180,653309,675090,640471,598810,667672,685151,383723,812662,0,0,0,2
100,0,0,0,0,0,0,0,0,0,0,2348065,2599985,2031282,13020,1217943,2381836,933920,270596,137900,2500544,2641629,2307052,2403102,2086027,1781601,1781097,1599948,1186590,1223148,1198078,1252671,1264242,1283224,1250722,1351048,1290871,1223005,1089458,1161976,1163919,1139543,1225248,1199491,1315117,1273030,1209494,1321119,1325212,1317216,1431294,1524550,1570491,1627108,1406240,1682276,1446117,1746831,1597512,1767203,1721747,1816948,1703542,1706238,1543553,1556432,1615127,1579488,1701727,1545884,1710121,1544968,1517334,1529834,1701506,1875916,1937654,2007213,1750458,1837563,1993721,1983788,134000,151099,569645,0,0,2432434,2290968,2734957,2773759,2687440,2598550,2734144,2541022,2608381,2382152,2272679,1747808,2404258,0,0,0,2
101,0,0,0,0,0,0,0,0,0,0,1849500,1995840,1348560,4064,336182,2154196,140120,44640,35621,1969440,2056886,2063282,2186777,1972994,1862878,1822526,1663194,1297098,1346044,1306253,1408080,1379298,1376753,1363235,1870986,1777197,1321202,1427814,1408479,1411521,1429063,1588994,1558001,1778812,1439862,1416715,1772547,1533334,1515998,1965051,2058659,2124273,2228449,1511079,2331416,1525558,2448797,2267164,2510534,2392864,2598616,2290542,2239620,1954213,1979161,2101247,2001317,2267896,1958037,2250090,1952711,1946093,1859868,1783678,1905455,1906135,1902744,1908931,1909721,2016742,1928764,27146,35969,64985,0,0,2062132,2051148,2229759,2805351,2167148,2133470,2266207,2063270,2018560,2141925,2038988,787988,2097645,0,0,0,2
102,0,0,0,0,0,0,0,0,0,0,1305721,1417447,1164253,22660,813483,1384806,635702,388284,285940,1349824,1380984,1330369,1375949,1105769,1113661,1103198,1029514,942101,986898,950424,969100,988069,979128,939899,949769,933316,874778,987875,1017170,1016299,1036689,1010250,1028139,1003708,1035216,1027653,1025569,1089727,1068194,972733,1019569,1073184,1104408,947337,1110852,961967,1155588,1110963,1212967,1203660,1237560,1143707,1116915,1092996,1095268,1099545,1075797,1172280,1091957,1140886,1109605,1101316,1040043,1091196,1142207,1159665,1209919,884715,936344,953395,1018343,281200,312160,474631,0,0,1366264,1237537,1492434,1570425,1516587,1491688,1569099,1424543,1413992,1369566,1306754,1002440,1297402,0,0,0,2
103,0,0,0,0,0,0,0,0,0,0,1563074,1612331,1287145,35310,671948,4132786,572801,255214,187960,1477838,1525044,4009417,4080187,3857367,4119632,4056987,3782527,3105994,3019422,3164533,3078983,3256376,3219488,3198787,2660174,2680202,3138314,2850970,2844813,2917999,2884914,2879017,2880690,2849760,3199831,2931751,2978159,3106128,3212816,2630598,2664892,2613073,2691637,3596368,2794683,3606470,3102121,3082195,3314792,3290341,3339053,3371123,3599427,3518945,3605476,3720380,3690447,3767368,3376987,3503559,3259605,3094067,3098402,3994737,4232682,4283952,4430791,3441079,3446276,3509832,3662042,284290,196066,385200,0,0,3249780,4169364,1634423,1680576,1614064,1756918,1652396,2441062,1566420,4233412,3877209,915653,4286213,0,0,0,2
104,0,0,0,0,0,0,0,0,0,0,1814882,1868505,1588891,0,1087815,2294474,929054,604391,478960,1694404,1759548,2346434,2339597,2188006,1940332,1957022,1773070,1292432,1333973,1333143,1352289,1385322,1391295,1394530,1199053,1198240,1408289,1161889,1199712,1206336,1198329,1254645,1214903,1276636,1353221,1247093,1326607,1353375,1397504,1244766,1274710,1288158,1340297,1597051,1334128,1631603,1471403,1597955,1559090,1616600,1621138,1712736,1808317,1510835,1513149,1834641,1706292,1874943,1524981,1765773,1568071,1599374,1649725,1840586,1997558,1985788,2039260,1693871,1821310,2002407,2095621,291300,509891,734553,0,0,2227052,2391697,1828175,1897842,1839838,1819433,1883091,2018065,1796031,2427079,2290758,1324705,2438852,0,0,0,2
105,0,0,0,0,0,0,0,0,0,0,716119,731273,666420,0,515616,760587,470546,358090,305800,669472,686171,735643,768079,637299,560347,560782,505126,351626,338195,383160,356975,412657,432592,409059,369723,365491,408674,298379,297187,303876,303564,323423,310391,348530,375823,333698,349189,347037,362489,375143,399097,424712,459740,456882,461973,472206,524056,577144,662804,618902,581207,616836,649357,552964,561321,607214,572812,679901,557383,638804,578284,572506,558349,520826,603535,641423,683731,561761,554989,578148,620094,203300,312692,370725,0,0,733655,706729,726640,746092,748341,772450,759634,736172,697559,774628,724088,583611,749132,0,0,0,2
106,0,0,0,0,0,0,0,0,0,0,2012975,2007082,1858987,0,971929,2383914,867056,669118,562700,1941100,2008119,2423279,2273962,2188729,1494067,1530277,1302787,694593,714889,730727,759528,820009,830637,829034,1053512,971676,839567,775713,802457,734431,788727,863619,794383,999165,816677,747321,971212,807413,828043,1142567,1252352,1269974,1329541,1107463,1410286,1154852,1591579,1632738,1764858,1727021,1815535,1760163,1815162,1713168,1736541,1823879,1794882,1800130,1730648,1803946,1713520,1711810,1783483,1409566,1648899,1735351,1798056,1908390,1987169,2076443,2131218,286100,669880,768305,0,0,1975005,2426889,1992797,2258144,2250183,2280881,2313391,2190556,2030113,2505745,2381980,1334122,2420274,0,0,0,2
107,0,0,0,0,0,0,0,0,0,0,483240,469170,406880,0,253120,519403,220660,143000,99380,438800,457080,465731,503530,475222,405190,401788,387311,325018,327256,333061,359870,344127,351375,333651,402660,385085,329911,324616,305857,296782,326426,348604,337114,391282,368430,323501,396629,359356,366066,425084,439658,464026,493567,368307,524113,362657,561564,575798,614256,606824,596392,625045,582215,575990,598744,577738,591244,596353,569824,627509,572658,558283,532726,394430,412970,421050,448953,528753,489675,483233,490455,51042,121058,168556,0,0,627557,502199,489520,493780,494240,496274,493560,455765,455530,475534,454409,317780,507620,0,0,0,2
108,0,0,0,0,0,0,0,0,0,0,1607676,1643804,1346807,0,875149,2072451,693047,325050,163100,1558644,1643540,1979945,2005117,1727477,681302,663511,684670,553354,579273,572026,618695,600519,613516,602115,882577,840304,591491,674109,683681,635075,666224,759059,703462,856820,646067,645996,839958,651961,658106,929055,1018904,1035864,1068489,627841,1125647,633771,1226722,1332662,1379087,1397153,1369662,1426582,1466746,1382148,1432845,1525078,1496492,1540878,1379048,1466952,1381886,1349909,1378484,696159,716129,737962,791940,1440171,1525343,1579435,1662078,75300,208900,498247,0,0,1917513,1926078,1848714,1950784,1964553,1910439,1981322,1907751,1589295,2065212,1961677,1092573,1994510,0,0,0,2
109,0,0,0,0,0,0,0,0,0,0,1474637,1622410,1286541,0,1147509,1655597,1139926,892283,698100,1803903,1767030,1672754,1587149,1466802,1591111,1589658,1504073,1052486,1153780,1077346,1204573,1124083,1159680,1119541,1683056,1597314,1096563,1120725,1232993,1098758,1350831,1379102,1216039,1598494,1158061,1094781,1519087,1150604,1192162,1855651,2119575,2217268,2285487,1316504,2067394,1381447,1759396,1377987,1323325,1324100,1419309,1471802,1560239,1177464,1252369,1420843,1321025,1544417,1165219,1502659,1085169,1084666,1111563,1579313,1657542,1745036,1825667,1222252,1270808,1360984,1365399,277800,778071,1102027,0,0,1595861,1534582,1394793,1746530,1778505,1748660,1856562,1720620,1615871,1693794,1476163,1175941,1723774,0,0,0,2
110,0,0,0,0,0,0,0,0,0,517639,7391759,6707410,6896094,1267619,6392331,5913801,5814792,5257545,4323375,4659378,4525459,6099769,5493278,4851260,5243446,4015709,4486291,2995741,3007848,2947847,3243279,3196788,3370098,3420909,4142780,4202647,3470488,4894498,4332296,3962425,4772861,4701182,4953827,4493835,3445552,3897283,4737528,3925194,3548421,4230727,4239801,4349744,4350676,3840082,4462709,4160598,4161438,3391578,3559764,3593624,3750608,3523380,3971339,3416171,3460443,3788105,3685143,3929213,3569007,3965685,3755759,3810596,3831849,4051648,3967497,3851318,4458433,4007574,4477337,4639051,4581665,3385440,4834266,5630452,0,0,4762401,5279237,4367060,4429309,4376347,4370609,4465903,4534980,5290696,5930444,6128371,6526425,5662722,0,0,0,1
111,0,0,0,0,0,0,812761,0,0,1651681,6445798,5332970,5932268,1827295,5025233,3431412,4611925,3965176,3440176,3209717,3187108,3113470,2498837,2907811,2978158,2163307,2079979,1487772,1239778,1582718,1181264,1575410,1504147,1473217,1924198,1810038,1494682,1921564,1659980,1511211,1878837,1848724,1975293,1747769,1283911,1489411,1832848,1504597,1402321,1970469,2061544,2205582,2407006,1710253,2584665,1857908,2806739,2892456,3067673,3214029,3191228,2704973,2677415,2917884,2839117,2918549,2797730,2925527,3048930,2729309,2983198,2869947,2673754,1903269,1955190,2306115,3228330,2736551,2836478,2817637,2755691,3032270,3773465,4340347,0,0,2424168,3204279,2810987,2880633,2721552,2616734,2915018,2523960,3595911,2911611,3258440,5207344,3358467,0,0,0,1
112,0,0,0,0,0,0,1551071,0,0,3793257,16673733,15191723,16166073,4906471,15932040,9753705,14641998,12626451,10466274,10705757,10021538,10558629,10336409,7567265,765926,3038063,7932618,4301366,4211111,4477491,4295556,5031404,5249740,5267823,2865578,3200930,5468164,4868284,4332549,4117096,4867262,4172520,4657803,3744454,4456282,4306030,4201898,4508986,4386347,3121320,3079874,2706882,2638234,6493394,2515513,7340245,2669146,3432318,2723114,3299072,2805991,3687760,4152539,4721899,4481881,4380052,4448320,4395871,4953126,3991370,5260882,5325116,5430127,5586383,4507811,3070371,0,5853658,6255727,6655521,6988481,8467507,11459474,13891455,0,0,9200156,8675415,9619069,9570374,9401754,9210404,9564551,8972998,12376354,11249736,10021500,15995383,9329982,0,0,0,1
113,0,0,0,0,0,0,671907,0,0,2124109,7854229,7271738,7834496,2970240,8035714,4131085,7615551,6953275,6297515,5267847,4941307,3364694,3726526,3660837,3450263,2893493,2874180,2185037,2122465,2296293,2134036,2425902,2569203,2629568,1908765,1878460,2637786,2015803,1960698,1882397,2074295,1932691,2004565,1917341,2141401,1909320,1966306,1982421,1984591,1974210,1985725,2015115,2008255,2903088,2050813,2846293,2088874,2267333,2258058,2342070,2162079,2395551,2464300,2554435,2445682,2449972,2481455,2532387,2660933,2524083,2726436,2803104,2827643,2555465,2568860,2626356,3071346,2954429,3078253,3181220,3443499,5794802,6461251,7484086,0,0,3784623,3927775,4717491,4562983,4147208,4185644,4264652,4064408,5875564,3501198,3535522,7921819,4110301,0,0,0,1
114,0,0,0,0,0,0,1502201,0,0,2230120,5719460,5314999,5805858,3316980,5768075,3033823,5556264,4791794,4189834,4327198,4212310,2864900,3516665,2722512,4480411,4575462,4158948,1591727,1571167,1815265,1616072,2139104,2477203,2718365,1145173,1122615,2770231,1069882,1083805,1180217,1090282,1109294,1124655,1158370,1700808,1350487,1154868,1539446,1703627,1130477,1146609,1241841,1358086,3188291,1422147,3630750,1443494,2017145,1629228,1954028,1556083,2112731,2138987,2108448,2068218,2023675,2005799,2158783,2229831,2180960,2357993,2507949,2553137,3024876,4587594,4526663,4444686,2701774,2721301,2674672,2809431,3580452,4514223,5267674,0,0,3701530,2795502,4201655,4144251,3435527,3459269,3873861,3637167,4762927,3214633,2760537,5715079,2850523,0,0,0,1
115,0,0,0,0,0,0,2123267,0,0,3311299,7989488,7758790,7794885,5085365,7849359,5922425,7339288,6523614,5774654,6682419,6560238,4972772,5283623,5664467,5758505,5803818,6020996,3575039,3721633,3937869,4040356,4291175,4619704,4719325,2732787,2708116,4598716,3362800,3561996,3699637,3517217,3068295,3295723,2891432,4390575,3896249,3022766,4206693,4462753,2869553,3042085,3074329,3241224,5140452,3494831,5397681,3677405,4321456,4319128,4697321,4131729,4290209,4254000,3793984,3891691,3989600,3852427,4266505,3800679,4367102,3690279,3611975,4330262,4220951,5568299,5374135,5249392,4618092,4912383,5226034,5690551,5155841,5988654,6848609,0,0,5538212,5800586,6376695,6336917,5561857,5564572,5948651,5559532,7216972,5270672,5108150,7832493,5909737,0,0,0,1
116,0,0,0,0,0,0,2036709,0,0,5625907,11730261,11333181,11227478,7283364,11024543,8849944,10801744,10064998,8216818,9794596,9597405,7418600,8421009,7605272,5320605,5230012,5394526,2615215,2650380,2885446,3048193,3327850,3597992,3847542,3257923,2987704,3947975,2728591,2597579,2668080,2719557,2844254,2880108,2944881,3179466,2754726,2963261,2916711,3184795,3519681,3626298,3759856,3887669,4544433,4092225,5036508,4276898,5213835,4704444,5221735,4599211,5370595,5470905,5566333,5364668,5339062,5293384,5710382,5831612,5561972,6129759,6071154,6136116,3685543,5208323,5263778,5306918,6501580,6589433,6872055,7416825,7465097,8941989,10807254,0,0,9106709,8332196,9668566,9880188,9137378,9084096,9655696,9453572,10637356,7875663,7516174,11227896,8724059,0,0,0,1
117,0,0,0,0,0,0,1489220,0,0,3553990,6581554,6469974,6423157,4213364,6081568,4257595,5821193,5393324,4611888,5412759,5246936,3704376,4165743,3915930,3037161,2967837,3191775,1810887,1818901,1896479,1858637,2013782,2119357,2321556,1916699,1769916,2399380,1802610,1746981,1739373,1797276,1849963,1866871,1801117,1987032,1741480,1877846,1813924,1899776,1990998,2054169,2206389,2319404,2578141,2439116,2873119,2504434,2920933,2787808,2934645,2703458,2981139,2890839,2889343,2856546,2845097,2850576,2977589,3079215,3043968,3229235,3224201,3353190,2240432,3062128,3053983,2838173,3561353,3648293,3744908,3917268,4132992,4892007,5766039,0,0,4712938,4024155,5275515,5368489,4942845,4993217,5230522,5043320,5869495,3884700,3776629,6039721,4159042,0,0,0,1
118,0,0,0,0,0,0,0,0,0,0,11282751,10691079,11165516,2957431,9672162,11413774,8148825,5842522,4234225,9507728,9810967,10383118,9664330,8648392,8481287,8118611,6459390,3021691,2976357,3648273,3346478,4008288,4398222,4718127,3360278,3391287,4754875,3847513,3401975,3428339,3643083,3894119,3999668,3696502,3785042,3758443,3882800,4387970,4626977,3309328,2806601,3046190,3862756,5512596,4024824,5856974,4207002,6430346,4908427,6477866,4583995,6466074,6243226,5977236,5845390,6031133,5812799,6401271,6624287,6572871,6973462,6716199,6945830,6956349,7241259,7183508,7415223,7522448,7309279,7635812,8236490,3694506,4760580,6846572,0,0,9362465,9927276,10062625,10602548,9898290,9958502,10434369,10372468,9833512,10604821,10913581,10516738,10596858,0,0,0,1
119,0,0,0,0,0,0,0,0,0,0,8590120,8148104,8284416,2655106,7578821,5972637,6587584,5238871,3714289,6960945,6720147,5155514,4955685,5303026,9117526,8754015,7394033,3972217,4046288,4190058,4808527,4611776,5459028,5555904,4941154,4789156,5556159,5411077,5407332,5552576,5566501,5218890,5384409,4988241,5301482,5933971,5308387,6729220,7082172,5076606,5223487,5404968,5421711,6504272,5445111,6718269,5481249,6775525,5932604,7053758,5682667,6947078,6340550,5896829,5926787,5913543,5882868,6256224,5555011,6878476,5246811,4989594,5015902,8123781,8382981,8449827,8497262,5239185,5040144,5197672,5383198,3129685,4279100,5984893,0,0,5223060,5679579,6402052,6295309,5850303,5672130,6029638,5556785,7565061,4938902,5432455,7967815,5935289,0,0,0,1
