1927-28,1967,1943,1949,1952,1985,1911-12,1915-16,1908-09,1904-05,1938-39,1912-13,1975,1974,1946,1926-27,1999,1948,1906-07,1947,1930-31,1934-35,1956,1920-21,1941,1981,borough,1933-34,1988,1984,1936-37,1960,1937-38,1978,1989,2005,1905-06,1998,1970,1986,1954,1951,1964,1996,1919-20,1922-23,1955,station,1993,2000,1991,1980,1969,1958,2003,1907-08,1924-25,1945,1972,1965,1968,1957,1971,1987,1992,1976,1910-11,1997,1917-18,2006,1935-36,1923-24,1950,1962,1979,1916-17,1913-14,1963,2004,1929-30,1961,2002,1944,1982,1925-26,1932-33,1994,1940,1990,1966,1953,1942,2001,1918-19,1995,1973,1931-32,1921-22,1959,1928-29,1977,1909-10,1983,1914-15
8103426,4138053,6213444,5608846,4887777,2436949,0,0,0,0,5563690,0,2862508,3009935,6917057,7559992,3877053,6198550,0,6610737,7752219,5809698,4251281,6505700,5827971,2400333,1,5818655,3366486,2428733,5605705,4209392,5336164,2736559,3513004,4775795,0,3554246,3685027,2686918,4292286,5156063,4473378,3021577,5863302,7206363,4314415,11,2805878,4263137,3096111,2492418,4227429,3923671,4528750,0,7305133,6144560,3238259,4354569,4179001,4080570,3443970,3071550,2930886,2759220,0,3146530,0,4677482,5876377,7425696,5431295,4472123,2718316,0,0,4432168,4680703,8018774,4214248,4547117,5950235,2278202,7493387,6060531,2895609,5988532,3219183,4099276,4634050,5881762,4507936,3726267,2823099,3111131,7193360,6712992,4101371,7878871,2685987,0,2413399,0
5216961,3418783,4314506,3822295,3736845,1846372,0,0,0,0,4292046,0,2191064,2260636,4399193,4651251,3032917,4111321,0,4224225,5632658,4469127,3590856,3760100,4513302,1916452,1,4518333,2348280,1861525,4534704,3788917,4230678,2231547,2462742,3548645,0,2714499,2805750,1990945,3585054,3735674,3877503,2372343,3451361,4250360,3656403,12,2151441,3381107,2184568,2034228,3163504,3383034,3467608,0,4379589,4082458,2450763,3734160,3262100,3490452,2591623,2205925,2134100,2137091,0,2487188,0,3527112,4530241,4480724,3909103,3871711,2214574,0,0,3767760,3575889,5476072,3795798,3601420,4027215,1777293,4475249,4737061,2195334,4631546,2236434,3480530,3661662,4216561,3521210,2414028,2247251,2407065,5319512,3985820,3737009,5228707,2118929,0,1860288,0
41885547,21041602,38469785,30188340,25702669,17992038,0,0,0,0,32804203,0,17053384,17886856,39705776,37974255,23866514,34688246,0,37392679,44815915,33941485,23166149,23071850,32755969,16738300,1,34052303,21839712,17224873,34947705,21833770,32736680,17141238,22608170,26140328,0,21163764,21544689,19602309,23634098,26864287,22151358,19826460,19660619,27772768,23337151,13,18949257,26533438,19656968,17275325,23476923,22108527,25995619,0,32073801,39417408,19017914,21160072,22296543,22582481,20606524,20588135,19167767,16470698,0,20453580,3197429,26362665,34646790,30151030,28267227,22296792,17490318,78121,0,21640371,26121651,45164532,22064359,24403007,38506833,15867118,35596437,35743698,19320876,34241722,20161926,20055934,24779087,35061543,26331838,11812877,19149150,18024511,41834759,25009851,22039368,42922266,16441390,0,16606117,0
14972058,7707765,12381286,9149313,7199480,4201689,5151297,7471350,3801050,1401068,12614299,5779724,5193416,5408210,12836775,12839957,7382893,10731074,2997231,11590636,14652628,12710937,6514803,8361200,11125314,4728194,1,12419747,6294209,4244464,12861021,6737398,12336221,5232262,6441811,7917491,2539327,6796214,6401323,4796353,6536259,7717905,8166504,6021033,8023553,9006800,6213519,14,4897304,8052456,5334057,5127230,7019253,5852845,7757002,3372351,9902832,12802236,5894995,7903265,7163999,6301989,5991245,5687276,4922490,5063367,4515030,6078360,8788417,8151244,13082954,9609140,8531131,7819520,5318127,8789017,6123949,7698778,8028430,15331473,7142673,8001597,12240998,4384197,11512037,12225562,5444136,12940669,5690976,7344246,7193866,11281510,7945115,6956450,5735733,5604707,13793117,8421140,6356037,14987394,4980374,4257346,4259429,6706761
4965566,3769769,3298409,4253003,3924602,2604239,3051168,3313690,2810044,1190387,3735627,3175022,3080491,3195966,3940202,4743430,5537605,4106171,2317689,4134894,4822009,4001783,3230523,4664400,3594165,2721265,1,4049179,3624418,2537160,3832141,2257240,3730803,3082281,3802228,7096701,1909781,5123117,3422930,2849574,3226834,4064841,3066936,3921194,4620261,4654494,3135392,15,3114587,6674250,3062790,2864046,3621226,2746853,7014265,2597381,4595164,3778040,3294026,3145856,3699690,3102973,3388011,3283814,2988891,2900271,2923407,4192746,3982061,7271724,3890863,4672818,4349397,2753155,3156701,3872227,3149653,2788283,7134810,5069281,2325240,7100640,3513327,2464673,4677289,4104049,3414872,3845857,3287908,3281569,3813162,3289536,6663749,3597198,3623849,3170506,4517711,4562358,2300818,4901245,2810087,2967937,2513941,3077626
12336072,6978785,10032023,9437609,8893256,6657350,4318215,5032619,3812091,1695750,10360582,4554314,5923229,6150840,10845180,11239575,10137956,9963515,3214327,10524549,12771236,11299367,7805804,7634700,9981906,6321329,1,11294619,7900270,6501156,10725994,7149908,10265978,6106818,7875862,11244174,2722326,9606988,6717017,7091977,7994184,9068514,7536789,8804571,7093532,8800476,7740251,16,7968864,10432954,7612048,6196678,7209982,7590615,10329897,3543596,9805918,10718172,6172905,7317016,7078617,7685370,6393351,7588887,7771752,5702640,4102000,8825757,5953202,11012939,11081723,9501141,9382330,7639278,6321871,5767629,4534330,7472407,11137535,13068597,7203548,9707887,10172514,6174191,10424272,11275740,8233837,10497864,7634672,6734335,8686542,9815700,10328830,5765025,8675876,6189723,12318296,7999500,7100453,12440741,5730372,4168404,6325439,4586406
5837301,3632654,4972681,4524191,4028550,2763757,2685157,3128235,2524858,1099084,5490511,2791125,2941908,3003329,5065109,5313756,4930167,4784663,2076268,4965727,6297781,5970278,3530141,4067780,5118951,2669046,1,6028521,3587501,2737654,5655076,3537685,5330396,2944287,3594092,5473507,1795345,4596009,3462462,3107005,3705674,4215493,3713881,3967906,3992286,4194553,3532271,17,3419185,5319045,3230683,2778565,3816742,3280992,5179463,2341001,4633650,5092768,3142134,3637533,3671289,3403218,3351848,3444088,3305804,2815477,2519827,4013559,3496035,5459723,6007981,4527790,4401805,3827165,2993831,3493973,2839600,3687830,5455810,6282757,3550321,5393711,4868280,2522302,4958877,5855156,3785400,5440407,3298215,3444868,4010478,5064488,5182170,3281880,3936748,2997914,6162519,4002852,3409230,5874291,2811802,2624023,2712163,2937630
6917711,4497154,5922484,5366953,4914410,3253005,3030883,3522094,2685473,1277819,6408073,3086511,3574027,3737640,6078730,6237249,5517024,5558779,2168270,5813826,7236448,6667828,4404633,4929200,6094381,3319558,1,6582625,4250956,3173135,6457707,4997692,6242586,3689880,4404689,6151020,1935662,5298715,4092450,3560185,4444883,5018210,5053169,4621975,4689421,5025263,4336650,18,4175068,5867038,4047303,3498440,4496812,4169931,5826800,2414111,5614940,6064127,3829106,4743721,4439199,4256353,3920625,4023076,4089947,3456273,2906264,4634393,3932518,6169110,6732660,5410534,5239371,5341069,3745962,3973482,3185790,5075800,6101130,7320919,5049408,5973398,5832639,3106626,5894539,6547574,4381947,6524311,4152674,4288885,4901108,5936917,5781073,3671061,4489309,3728038,7034859,4931504,4688550,6994433,3496745,3007357,3193496,3268020
11043437,7045633,8184863,7798879,6976941,7392052,5107772,5952094,4241721,1810312,9254253,5488811,6524636,6784719,9041971,10314383,10177648,8188602,3421044,8605718,11046878,8744855,5852031,8354602,8771963,6948756,1,9896413,8330881,7182869,9350220,7897947,9035784,6738659,8445763,10832956,2951906,9203047,7618937,7602775,6292286,7116635,7483040,8553758,8148340,8822547,5900210,19,7992268,10631201,7891473,6815993,7804440,5617839,10890582,3872348,9205708,8501482,7139132,7209096,7305680,5682732,7525390,8053172,7849039,6218791,4581128,8539737,7172799,10890386,8747365,9187587,7524638,8144629,6991799,6855413,5558385,7825345,10778786,11343157,7870466,10143062,8095666,6804273,9604833,9710763,8224185,9316504,8093702,6668805,6857513,8532728,10421716,7226143,8475540,6809033,10545854,8520078,7491080,11139759,6234121,4652791,7156634,5613331
5627329,3658999,4984402,4890701,4528568,2347923,3188298,3496661,2954849,1590843,5327835,3411816,3022479,3136161,5330734,5052276,3646596,5088624,2582514,5257749,5983643,5499493,3350821,4422400,5210953,2415603,1,5385815,2848629,2415268,5363361,3615367,5207885,2812177,2752802,4177667,2457156,3726939,3690564,2535515,3924155,4516822,3771507,3276885,4297202,4407059,3402373,20,2853778,3969127,2595930,2600469,3891695,3324999,3434373,2822191,4577036,5114623,3335932,3720229,3744103,3235106,3496872,2617560,2755314,2839625,2954935,3294388,3899689,4314609,5528666,4642631,4735423,3870581,2809940,3880950,3471284,3766111,3990553,5940675,3573533,3957080,4909449,2311939,4778814,5245554,3010727,5543445,2392038,3508795,4487683,5098449,4012609,3524450,3166125,3176376,5744709,4382700,3478246,5621331,2764934,3123688,2447511,3354764
