1927-28,1967,1943,1949,1952,1985,1911-12,1915-16,1908-09,1904-05,1938-39,1912-13,1975,1974,1946,1926-27,1999,1948,1906-07,1947,1930-31,1934-35,1956,1920-21,1941,1981,borough,1933-34,1988,1984,1936-37,1960,1937-38,1978,1989,2005,1905-06,1998,1970,1986,1954,1951,1964,1996,1919-20,1922-23,1955,station,1993,2000,1991,1980,1969,1958,2003,1907-08,1924-25,1945,1972,1965,1968,1957,1971,1987,1992,1976,1910-11,1997,1917-18,2006,1935-36,1923-24,1950,1962,1979,1916-17,1913-14,1963,2004,1929-30,1961,2002,1944,1982,1925-26,1932-33,1994,1940,1990,1966,1953,1942,2001,1918-19,1995,1973,1931-32,1921-22,1959,1928-29,1977,1909-10,1983,1914-15
860188,1176033,1254760,1232792,1379413,786763,0,0,0,0,1480465,0,930937,976545,1343399,813524,1217640,1277315,0,1317969,1277781,1346053,1070661,561240,1400507,873911,2,1291291,895159,750391,1452810,1093153,1430832,964287,930301,1229700,0,1128878,1225509,821665,1161226,1396352,1312280,878116,411960,647985,1089970,82,845061,1346068,866576,931656,1271679,1044679,1312905,0,714362,1196665,1264525,1243969,1192055,1049914,1306269,925886,835468,901841,0,901101,320080,1644660,1456283,690346,1270833,1200478,1005616,84620,0,1232481,1224429,1081828,1115927,1389294,1174039,791535,744997,1226247,851480,1567360,873993,1133524,1340813,1365738,1407781,371482,858229,1062372,1235175,614377,1058646,966808,897357,0,751108,0
1133853,857337,1111018,912125,700257,607936,0,0,0,0,1198860,0,658430,701331,1096969,1041879,690935,1022714,0,1093831,1340123,1290272,615052,698600,1121631,657791,2,1268256,636232,590570,1234789,768885,1176945,717437,581680,941013,0,675640,782732,596987,616128,726711,890253,633725,563820,752679,604820,83,615480,719899,612571,701648,847639,668227,747100,0,857803,1031235,765694,870847,848009,616378,773360,601837,592482,651616,0,637678,387600,513898,1272804,843499,830595,846926,746649,162300,0,867635,755902,1307463,808396,741437,1044430,600799,947143,1266113,629868,1155682,599427,820346,696487,1158462,725271,454580,624679,725682,1331701,732102,744194,1179382,670446,0,615771,0
1364513,1277198,1412655,1143383,893178,840589,0,0,0,0,1436536,0,898284,951354,1413715,1159243,854453,1291625,0,1377724,1777748,1655093,1042885,537940,1437936,872715,2,1681694,839646,827145,1589091,1176299,1475271,917594,832588,676623,0,826341,1180872,837290,1114137,926687,1335386,795080,480960,616604,1021762,84,758617,872369,800977,881140,1273544,1078646,959801,0,805061,1333599,1000515,1317130,1284745,1066936,1152679,843457,772636,882141,0,776057,325800,1265222,1674841,704749,1043714,1270434,955021,72900,0,1287824,934142,1722344,1207715,966368,1353230,833259,984479,1658455,788165,1428631,745590,1206038,1103274,1508588,901909,375900,792815,966536,1748562,592880,1107236,1565242,892284,0,838837,0
1010721,1079174,1458690,1287403,1011279,1036949,0,0,0,0,1651814,0,1064518,1123499,1479567,857318,1255562,1395617,0,1446596,1656880,1622572,1028863,440700,1508326,1049215,2,1660749,1119713,1023490,1597031,1113003,1611435,1133402,1099703,1357525,0,1222232,1101226,1058280,995053,1077648,1181293,1137976,387100,467467,1002238,85,1077928,1302185,1072472,1116886,1154693,1063255,1276372,0,626491,1403521,1197971,1124967,1098219,1069171,1094494,1094222,1043102,1008538,0,1147091,262360,1056953,1672561,532004,1220755,1160959,1212250,58440,0,1159577,1250222,1485640,1150235,1309659,1409725,1004282,739021,1668404,1115506,1639134,1029587,1047837,982365,1505407,1283596,305900,1137594,1145959,1684867,476940,1099428,1215458,1029012,0,1059236,0
792834,788116,1411927,1057908,809122,445684,0,0,0,0,1475530,0,476432,525248,1268176,749214,748373,1184840,0,1243089,963490,1455897,798935,858600,1431638,461229,2,1389428,491818,443888,1487897,851684,1402575,478849,547013,1139170,0,709562,670194,467932,756675,849314,954583,601817,1440700,328867,772329,86,542994,811342,489629,472932,737291,824045,817459,0,526450,1207386,604631,899167,743490,807156,636664,492251,487922,454655,0,627588,1164240,690663,1599241,437669,963217,929602,505150,239460,0,920385,801268,894936,875431,819725,1278546,443458,648316,1226733,562008,1506380,493338,806913,811235,1478771,798970,1215600,591405,553444,1034029,270100,846848,851101,454948,0,460229,0
2448814,1377996,2331209,1712285,1426793,962193,0,0,0,0,3194754,0,1047599,1116014,2045716,2280842,1064656,1875476,0,1950054,3064587,2981907,1269931,967400,2756370,961622,2,3206521,969924,938059,2783727,1389411,2947881,1047530,955495,664270,0,1014530,1240295,966410,1280901,1539081,1541990,975042,0,1999401,1235101,87,941235,992541,939758,989143,1343852,1292675,1114389,0,2049614,1952881,1188952,1486281,1292474,1288065,1195844,994115,930520,1013565,0,957633,0,1132407,2931269,2011265,1630044,1475578,1050522,0,0,1461924,1101554,2902836,1464431,1087358,2052774,922052,2223185,3351660,972640,2975292,904302,1351141,1341614,2694937,1045011,0,955461,1160518,3187041,1975500,1340173,2592148,1001095,0,1019703,0
0,415229,117130,100247,96678,291521,0,0,0,0,0,0,360734,359669,103853,0,431820,106802,0,102772,0,0,157558,0,63443,294701,2,0,269345,278735,0,349312,0,346518,270814,489782,0,422950,372176,317459,127334,97259,376989,356617,0,0,143623,88,256761,418034,175013,307249,402900,289237,433831,0,0,103556,355875,416719,399162,229421,340995,311863,199028,357414,0,364721,0,554611,0,0,95796,387070,330254,0,0,366166,456571,0,360947,444319,116151,285964,0,0,285975,0,267532,397958,120848,123102,445159,0,315760,358986,0,0,319280,0,344343,0,270094,0
0,613793,82521,72959,92336,411490,0,0,0,0,0,0,504961,520909,74653,0,641922,82127,0,76108,0,0,176686,0,45690,423182,2,0,423774,406353,0,504792,0,505884,417178,798976,0,605027,537210,436038,157479,84385,598722,480796,0,0,170966,89,395045,641137,427113,441158,601280,413219,694114,0,0,76097,509102,600111,605994,296012,493962,434051,412262,501727,0,495493,0,830675,0,0,92813,597966,489518,0,0,586026,732950,0,528012,696860,81617,409715,0,0,410359,0,413082,594287,130886,89698,665085,0,444797,504693,0,0,463452,0,485629,0,399597,0
0,1189849,225019,224371,270759,1156114,0,0,0,0,0,0,1252013,1246768,229102,0,1553395,240405,0,226225,0,0,423094,0,131565,1143990,2,0,1171574,1138094,0,1051382,0,1274499,1168578,1644704,0,1456385,1162147,1173872,387433,247687,1155617,1157123,0,0,413726,90,1128570,1449127,1133989,1211426,1208315,761954,1519853,0,0,218943,1169995,1128253,1193097,589934,1140973,1174825,1125845,1242928,0,1242161,0,1717442,0,0,252766,1159242,1276217,0,0,1145449,1590836,0,1093567,1573545,233223,1093098,0,0,1128658,0,1050963,1120007,345512,239328,1532449,0,1163770,1204162,0,0,845239,0,1239963,0,1117073,0
0,576073,54996,62984,55559,634138,0,0,0,0,0,0,594451,603571,61826,0,904578,66168,0,65006,0,0,66309,0,29106,655462,2,0,623568,642262,0,241709,0,657737,622557,1007547,0,876823,645291,655103,67954,57419,388469,728625,0,0,66518,91,597104,924798,456228,677546,702783,187137,957821,0,0,62642,590828,447823,625983,129868,616562,691083,552132,613393,0,759343,0,1085754,0,0,61715,295359,695606,0,0,330128,992462,0,256370,971895,60644,617031,0,0,609944,0,558529,504888,59281,55179,956529,0,674561,586796,0,0,215009,0,614639,0,625373,0
2003739,2181628,1528320,1697527,1993594,1151438,0,0,0,0,1602099,0,1434573,1520045,1687972,1920019,1373246,1801287,0,1796266,1980798,1580442,2436490,2199240,1556362,1177997,2,1637737,1286374,1154215,1685729,2331318,1625252,1280948,1191335,1878180,0,1309163,1955642,1173885,1971015,1803174,1712895,1076870,1898680,1953618,2253445,92,1073841,1452578,1085268,1189489,2173459,2388541,1731874,0,2041539,1507973,1695554,1854063,2195976,2443699,1830812,1257737,1051517,1274013,0,1069772,0,2031493,1687530,2026448,1702303,1842739,1276665,0,0,1694293,1859424,2031613,2147546,1727620,1451128,1096272,2048649,1717944,1090685,1574159,1150491,2121227,2024094,1578034,1575887,1318385,1105449,1595707,1864279,2111060,2416585,1999898,1242298,0,1171562,0
4413824,2891279,3820295,4224845,4124453,1001019,0,0,0,0,3855928,0,1409798,1561190,4486558,4281730,1330707,4558297,0,4553511,4513070,3880695,3423358,4337180,3732982,1031615,2,3998589,1166419,955758,4025558,3861744,3883569,1173628,1183260,1780295,0,1257845,2229800,1015796,3723948,3978477,3567874,1025440,3924480,4141369,3522702,93,1004664,1474818,1027249,1105421,2652068,3473994,1699350,0,4282831,3886578,1897045,3432158,2811306,3462696,2050404,1115397,1004978,1249632,0,1028730,0,1722026,4023549,4257037,4070514,3807707,1207706,0,0,3691658,1732053,4522259,3710989,1656656,3625553,922534,4442631,4048513,1046533,3811250,1060137,3024046,4099498,3857601,1573905,1410140,1042899,1729069,4811073,4278340,3732829,4399572,1141920,0,971373,0
3232481,1687869,2644554,2797142,2444025,469742,0,0,0,0,2849719,0,791955,886343,2950117,2936182,714152,2988712,0,3023009,3683919,2979259,2061125,1925060,2633036,494104,2,3002101,512044,436973,3190115,2035399,2974031,628853,516998,939542,0,667164,1353633,460920,2177717,2490794,1961176,550978,1704150,2043562,2047603,94,487479,763070,420164,568004,1587909,1935024,862614,0,2324945,2685250,1122939,1926242,1634154,1958248,1230452,491533,448950,725181,0,581707,0,972373,3198819,2210308,2686228,2051807,621935,0,0,1982277,873732,3718365,2016664,863821,2546504,406128,2761827,2948162,543421,2774550,456031,1694831,2369005,2743035,807611,617210,554023,1002444,3338284,2035960,1994087,3140971,633635,0,435702,0
767313,798259,1058590,960034,916881,126568,0,0,0,0,1030734,0,494518,546696,1016522,665076,194144,1059950,0,1036417,967409,980082,838976,442947,1043156,193191,2,864272,130677,132546,1134820,872591,1103994,265954,131679,271348,0,190324,701197,123779,782996,910425,862141,165651,392605,571473,819005,95,138106,230725,110548,213034,792440,837896,278239,0,560247,989839,642092,864289,797472,847627,687040,127493,124441,352917,0,143267,0,273671,1065634,594040,971257,857734,245647,0,0,826931,279588,934230,829568,278303,993775,141826,641597,894273,155248,1031188,117337,771347,923389,1061840,255783,122950,165266,576422,978151,470588,825144,805140,270969,0,125507,0
2659821,1964310,2535903,2558183,2292648,435507,0,0,0,0,2596961,0,914798,1051228,2936795,2631518,929906,2848755,0,2975939,2933590,2587778,2053873,1992200,2463311,474666,2,2553373,449627,433151,2716229,2248756,2632589,596257,451779,1366935,0,886210,1744292,415980,2035505,2344086,2233203,661936,1904180,2017838,2002350,96,595625,1045618,501689,509850,1973079,2133492,1205275,0,2265741,2702969,1451536,2195079,1946319,2100570,1633223,464012,532487,762302,0,682301,0,1331444,2682241,2143044,2427769,2318329,574352,0,0,2276692,1259948,2889578,2266168,1174670,2500313,428580,2533727,2467617,638258,2536458,454674,1965858,2217307,2526843,1083833,698520,652985,1254856,2744068,1963800,2183128,2724297,628832,0,421274,0
2445588,1346391,2035191,1943895,1690058,465891,0,0,0,0,2122094,0,599255,665735,2265727,2393145,688755,2141313,0,2231397,2458855,2083123,1584271,1656850,1999290,480108,2,2105379,524663,458033,2150357,1732963,2113549,520449,533439,1031385,0,701655,1142965,458266,1557080,1721497,1577190,564339,1608700,1799883,1543869,97,524087,766008,521424,484184,1332667,1677068,914897,0,2189603,2092012,918079,1535195,1338949,1640887,1047203,528750,491939,529767,0,594860,0,1017825,2152659,2043139,1820033,1718124,516124,0,0,1642667,991343,2423972,1721374,865496,2013808,422508,2336240,2106433,559340,2074113,492007,1370350,1650479,2015850,808127,602590,553679,795594,2315104,1630230,1720644,2428734,518377,0,436666,0
3248889,2802914,2785568,3099310,2714667,1863405,0,0,0,0,2738764,0,1809366,1983816,3127764,3195907,2354165,3379944,0,3401826,3834971,2988541,2596814,2350500,2530144,1715506,2,2943695,1919190,1750800,3024703,2889824,2861393,1650699,1896564,3019773,0,2158528,2543337,1859778,2469405,2813304,2975401,1817764,2211000,2251754,2510841,98,1706635,2499700,1640836,1647410,2822170,2692451,2819504,0,2621169,2893783,2290047,2960229,2724640,2643212,2352258,2008830,1599941,1621059,0,1829976,0,3088334,3117477,2436492,2941040,2990162,1689680,0,0,2943730,2973060,3403986,2901001,2820144,2826651,1639347,3005664,2876048,1830997,2632422,1734890,2716875,2652576,2646758,2622658,792500,1805660,2145806,3111220,2187582,2845870,3376580,1595677,0,1712801,0
383723,725665,667672,692678,560748,155201,0,0,0,0,653309,0,255361,318463,749079,305410,302548,785717,0,812662,609996,669150,595614,73375,644127,154416,2,621340,178821,140867,675090,793216,669180,148684,167876,465565,0,304062,598379,154236,553096,569584,834885,234660,8175,92595,559463,99,212026,344712,152891,151861,675507,702085,402958,0,141115,685151,460328,805312,707298,644344,532055,170292,167097,206238,0,241069,0,476628,702340,102730,630772,849042,140105,0,0,856541,452648,553954,801564,401770,674799,141634,239300,583120,233719,640471,173476,723868,577363,679427,374535,0,234300,392426,598810,93095,748991,474390,166544,0,141027,0
1747808,1721747,2382152,2086027,1837563,1163919,0,0,0,0,2598550,0,1431294,1524550,2381836,1217943,1446117,2290968,0,2404258,2599985,2734957,1544968,134000,2432434,1199491,2,2641629,1317216,1161976,2734144,1579488,2687440,1315117,1273030,1937654,0,1406240,1746831,1209494,1529834,1993721,1710121,1250722,13020,151099,1517334,100,1198078,1599948,1223148,1225248,1816948,1543553,1781097,0,569645,2272679,1627108,1703542,1767203,1545884,1682276,1325212,1186590,1351048,0,1223005,0,2007213,2773759,270596,1983788,1701727,1321119,0,0,1706238,1875916,2348065,1615127,1781601,2307052,1089458,933920,2500544,1264242,2541022,1252671,1597512,1750458,2403102,1701506,0,1283224,1570491,2608381,137900,1556432,2031282,1290871,0,1139543,0
787988,2392864,2141925,1972994,1909721,1411521,0,0,0,0,2133470,0,1965051,2058659,2154196,336182,1525558,2051148,0,2097645,1995840,2229759,1952711,27146,2062132,1558001,2,2056886,1515998,1408479,2266207,2001317,2167148,1778812,1439862,1906135,0,1511079,2448797,1416715,1859868,2016742,2250090,1363235,4064,35969,1946093,101,1306253,1663194,1346044,1588994,2598616,1954213,1822526,0,64985,2038988,2228449,2290542,2510534,1958037,2331416,1533334,1297098,1870986,0,1321202,0,1902744,2805351,44640,1928764,2267896,1772547,0,0,2239620,1905455,1849500,2101247,1862878,2063282,1427814,140120,1969440,1379298,2063270,1408080,2267164,1908931,2186777,1783678,0,1376753,2124273,2018560,35621,1979161,1348560,1777197,0,1429063,0
1002440,1203660,1369566,1105769,936344,1016299,0,0,0,0,1491688,0,972733,1019569,1384806,813483,961967,1237537,0,1297402,1417447,1492434,1109605,281200,1366264,1028139,2,1380984,1068194,1017170,1569099,1075797,1516587,1003708,1035216,1159665,0,947337,1155588,1027653,1040043,953395,1140886,939899,22660,312160,1101316,102,950424,1029514,986898,1010250,1237560,1092996,1103198,0,474631,1306754,1104408,1143707,1212967,1091957,1110852,1089727,942101,949769,0,874778,0,1209919,1570425,388284,1018343,1172280,1025569,0,0,1116915,1142207,1305721,1099545,1113661,1330369,987875,635702,1349824,988069,1424543,969100,1110963,884715,1375949,1091196,0,979128,1073184,1413992,285940,1095268,1164253,933316,0,1036689,0
915653,3290341,4233412,3857367,3446276,2917999,0,0,0,0,1756918,0,2630598,2664892,4132786,671948,3606470,4169364,0,4286213,1612331,1634423,3259605,284290,3249780,2880690,2,1525044,3212816,2844813,1652396,3690447,1614064,2849760,3199831,4283952,0,3596368,3102121,2931751,3098402,3509832,3503559,3198787,35310,196066,3094067,103,3164533,3782527,3019422,2879017,3339053,3518945,4056987,0,385200,3877209,2691637,3371123,3314792,3376987,2794683,3106128,3105994,2660174,0,3138314,0,4430791,1680576,255214,3662042,3767368,2978159,0,0,3599427,4232682,1563074,3720380,4119632,4009417,2850970,572801,1477838,3256376,2441062,3078983,3082195,3441079,4080187,3994737,0,3219488,2613073,1566420,187960,3605476,1287145,2680202,0,2884914,0
1324705,1616600,2427079,2188006,1821310,1206336,0,0,0,0,1819433,0,1244766,1274710,2294474,1087815,1631603,2391697,0,2438852,1868505,1828175,1568071,291300,2227052,1214903,2,1759548,1397504,1199712,1883091,1706292,1839838,1276636,1353221,1985788,0,1597051,1471403,1247093,1649725,2002407,1765773,1394530,0,509891,1599374,104,1333143,1773070,1333973,1254645,1621138,1510835,1957022,0,734553,2290758,1340297,1712736,1559090,1524981,1334128,1353375,1292432,1199053,0,1408289,0,2039260,1897842,604391,2095621,1874943,1326607,0,0,1808317,1997558,1814882,1834641,1940332,2346434,1161889,929054,1694404,1385322,2018065,1352289,1597955,1693871,2339597,1840586,0,1391295,1288158,1796031,478960,1513149,1588891,1198240,0,1198329,0
583611,618902,774628,637299,554989,303876,0,0,0,0,772450,0,375143,399097,760587,515616,472206,706729,0,749132,731273,726640,578284,203300,733655,310391,2,686171,362489,297187,759634,572812,748341,348530,375823,641423,0,456882,524056,333698,558349,578148,638804,409059,0,312692,572506,105,383160,505126,338195,323423,581207,552964,560782,0,370725,724088,459740,616836,662804,557383,461973,347037,351626,369723,0,408674,0,683731,746092,358090,620094,679901,349189,0,0,649357,603535,716119,607214,560347,735643,298379,470546,669472,412657,736172,356975,577144,561761,768079,520826,0,432592,424712,697559,305800,561321,666420,365491,0,303564,0
1334122,1727021,2505745,2188729,1987169,734431,0,0,0,0,2280881,0,1142567,1252352,2383914,971929,1154852,2426889,0,2420274,2007082,1992797,1713520,286100,1975005,794383,2,2008119,828043,802457,2313391,1794882,2250183,999165,816677,1735351,0,1107463,1591579,747321,1783483,2076443,1803946,829034,0,669880,1711810,106,730727,1302787,714889,863619,1815535,1713168,1530277,0,768305,2381980,1329541,1760163,1764858,1730648,1410286,807413,694593,1053512,0,839567,0,1798056,2258144,669118,2131218,1800130,971212,0,0,1815162,1648899,2012975,1823879,1494067,2423279,775713,867056,1941100,820009,2190556,759528,1632738,1908390,2273962,1409566,0,830637,1269974,2030113,562700,1736541,1858987,971676,0,788727,0
317780,606824,475534,475222,489675,296782,0,0,0,0,496274,0,425084,439658,519403,253120,362657,502199,0,507620,469170,489520,572658,51042,627557,337114,2,457080,366066,305857,493560,591244,494240,391282,368430,421050,0,368307,561564,323501,532726,483233,627509,333651,0,121058,558283,107,333061,387311,327256,348604,596392,575990,401788,0,168556,454409,493567,625045,614256,569824,524113,359356,325018,402660,0,329911,0,448953,493780,143000,490455,596353,396629,0,0,582215,412970,483240,577738,405190,465731,324616,220660,438800,344127,455765,359870,575798,528753,503530,394430,0,351375,464026,455530,99380,598744,406880,385085,0,326426,0
1092573,1397153,2065212,1727477,1525343,635075,0,0,0,0,1910439,0,929055,1018904,2072451,875149,633771,1926078,0,1994510,1643804,1848714,1381886,75300,1917513,703462,2,1643540,658106,683681,1981322,1496492,1964553,856820,646067,737962,0,627841,1226722,645996,1378484,1579435,1466952,602115,0,208900,1349909,108,572026,684670,579273,759059,1369662,1382148,663511,0,498247,1961677,1068489,1426582,1379087,1379048,1125647,651961,553354,882577,0,591491,0,791940,1950784,325050,1662078,1540878,839958,0,0,1466746,716129,1607676,1525078,681302,1979945,674109,693047,1558644,600519,1907751,618695,1332662,1440171,2005117,696159,0,613516,1035864,1589295,163100,1432845,1346807,840304,0,666224,0
1175941,1324100,1693794,1466802,1270808,1098758,0,0,0,0,1748660,0,1855651,2119575,1655597,1147509,1381447,1534582,0,1723774,1622410,1394793,1085169,277800,1595861,1216039,2,1767030,1192162,1232993,1856562,1321025,1778505,1598494,1158061,1745036,0,1316504,1759396,1094781,1111563,1360984,1502659,1119541,0,778071,1084666,109,1077346,1504073,1153780,1379102,1419309,1177464,1589658,0,1102027,1476163,2285487,1471802,1323325,1165219,2067394,1150604,1052486,1683056,0,1096563,0,1825667,1746530,892283,1365399,1544417,1519087,0,0,1560239,1657542,1474637,1420843,1591111,1672754,1120725,1139926,1803903,1124083,1720620,1204573,1377987,1222252,1587149,1579313,0,1159680,2217268,1615871,698100,1252369,1286541,1597314,0,1350831,0
6526425,3593624,5930444,4851260,4477337,3962425,0,0,0,0,4370609,0,4230727,4239801,5913801,6392331,4160598,5279237,0,5662722,6707410,4367060,3755759,3385440,4762401,4953827,1,4525459,3548421,4332296,4465903,3685143,4376347,4493835,3445552,3851318,0,3840082,4161438,3897283,3831849,4639051,3965685,3420909,1267619,4834266,3810596,110,2947847,4486291,3007848,4701182,3750608,3416171,4015709,0,5630452,6128371,4350676,3523380,3559764,3569007,4462709,3925194,2995741,4142780,0,3470488,0,4458433,4429309,5257545,4581665,3929213,4737528,0,0,3971339,3967497,7391759,3788105,5243446,6099769,4894498,5814792,4659378,3196788,4534980,3243279,3391578,4007574,5493278,4051648,517639,3370098,4349744,5290696,4323375,3460443,6896094,4202647,0,4772861,0
5207344,3214029,2911611,2907811,2836478,1511211,0,0,0,0,2616734,0,1970469,2061544,3431412,5025233,1857908,3204279,0,3358467,5332970,2810987,2983198,3032270,2424168,1975293,1,3187108,1402321,1659980,2915018,2797730,2721552,1747769,1283911,2306115,0,1710253,2806739,1489411,2673754,2817637,2729309,1473217,1827295,3773465,2869947,111,1582718,2079979,1239778,1848724,3191228,2917884,2163307,0,4340347,3258440,2407006,2704973,3067673,3048930,2584665,1504597,1487772,1924198,0,1494682,812761,3228330,2880633,3965176,2755691,2925527,1832848,0,0,2677415,1955190,6445798,2918549,2978158,3113470,1921564,4611925,3209717,1575410,2523960,1181264,2892456,2736551,2498837,1903269,1651681,1504147,2205582,3595911,3440176,2839117,5932268,1810038,0,1878837,0
15995383,3299072,11249736,7567265,6255727,4117096,0,0,0,0,9210404,0,3121320,3079874,9753705,15932040,7340245,8675415,0,9329982,15191723,9619069,5260882,8467507,9200156,4657803,1,10021538,4386347,4332549,9564551,4448320,9401754,3744454,4456282,3070371,0,6493394,2669146,4306030,5430127,6655521,3991370,5267823,4906471,11459474,5325116,112,4477491,7932618,4211111,4172520,2805991,4721899,3038063,0,13891455,10021500,2638234,3687760,2723114,4953126,2515513,4508986,4301366,2865578,0,5468164,1551071,0,9570374,12626451,6988481,4395871,4201898,0,0,4152539,4507811,16673733,4380052,765926,10558629,4868284,14641998,10705757,5031404,8972998,4295556,3432318,5853658,10336409,5586383,3793257,5249740,2706882,12376354,10466274,4481881,16166073,3200930,0,4867262,0
7921819,2342070,3501198,3660837,3078253,1882397,0,0,0,0,4185644,0,1974210,1985725,4131085,8035714,2846293,3927775,0,4110301,7271738,4717491,2726436,5794802,3784623,2004565,1,4941307,1984591,1960698,4264652,2481455,4147208,1917341,2141401,2626356,0,2903088,2088874,1909320,2827643,3181220,2524083,2629568,2970240,6461251,2803104,113,2296293,2874180,2122465,1932691,2162079,2554435,2893493,0,7484086,3535522,2008255,2395551,2258058,2660933,2050813,1982421,2185037,1908765,0,2637786,671907,3071346,4562983,6953275,3443499,2532387,1966306,0,0,2464300,2568860,7854229,2449972,3450263,3364694,2015803,7615551,5267847,2425902,4064408,2134036,2267333,2954429,3726526,2555465,2124109,2569203,2015115,5875564,6297515,2445682,7834496,1878460,0,2074295,0
5715079,1954028,3214633,2722512,2721301,1180217,0,0,0,0,3459269,0,1130477,1146609,3033823,5768075,3630750,2795502,0,2850523,5314999,4201655,2357993,3580452,3701530,1124655,1,4212310,1703627,1083805,3873861,2005799,3435527,1158370,1700808,4526663,0,3188291,1443494,1350487,2553137,2674672,2180960,2718365,3316980,4514223,2507949,114,1815265,4158948,1571167,1109294,1556083,2108448,4575462,0,5267674,2760537,1358086,2112731,1629228,2229831,1422147,1539446,1591727,1145173,0,2770231,1502201,4444686,4144251,4791794,2809431,2158783,1154868,0,0,2138987,4587594,5719460,2023675,4480411,2864900,1069882,5556264,4327198,2139104,3637167,1616072,2017145,2701774,3516665,3024876,2230120,2477203,1241841,4762927,4189834,2068218,5805858,1122615,0,1090282,0
7832493,4697321,5270672,5664467,4912383,3699637,0,0,0,0,5564572,0,2869553,3042085,5922425,7849359,5397681,5800586,0,5909737,7758790,6376695,3690279,5155841,5538212,3295723,1,6560238,4462753,3561996,5948651,3852427,5561857,2891432,4390575,5374135,0,5140452,3677405,3896249,4330262,5226034,4367102,4719325,5085365,5988654,3611975,115,3937869,6020996,3721633,3068295,4131729,3793984,5803818,0,6848609,5108150,3241224,4290209,4319128,3800679,3494831,4206693,3575039,2732787,0,4598716,2123267,5249392,6336917,6523614,5690551,4266505,3022766,0,0,4254000,5568299,7989488,3989600,5758505,4972772,3362800,7339288,6682419,4291175,5559532,4040356,4321456,4618092,5283623,4220951,3311299,4619704,3074329,7216972,5774654,3891691,7794885,2708116,0,3517217,0
11227896,5221735,7875663,7605272,6589433,2668080,0,0,0,0,9084096,0,3519681,3626298,8849944,11024543,5036508,8332196,0,8724059,11333181,9668566,6129759,7465097,9106709,2880108,1,9597405,3184795,2597579,9655696,5293384,9137378,2944881,3179466,5263778,0,4544433,4276898,2754726,6136116,6872055,5561972,3847542,7283364,8941989,6071154,116,2885446,5394526,2650380,2844254,4599211,5566333,5230012,0,10807254,7516174,3887669,5370595,4704444,5831612,4092225,2916711,2615215,3257923,0,3947975,2036709,5306918,9880188,10064998,7416825,5710382,2963261,0,0,5470905,5208323,11730261,5339062,5320605,7418600,2728591,10801744,9794596,3327850,9453572,3048193,5213835,6501580,8421009,3685543,5625907,3597992,3759856,10637356,8216818,5364668,11227478,2987704,0,2719557,0
6039721,2934645,3884700,3915930,3648293,1739373,0,0,0,0,4993217,0,1990998,2054169,4257595,6081568,2873119,4024155,0,4159042,6469974,5275515,3229235,4132992,4712938,1866871,1,5246936,1899776,1746981,5230522,2850576,4942845,1801117,1987032,3053983,0,2578141,2504434,1741480,3353190,3744908,3043968,2321556,4213364,4892007,3224201,117,1896479,3191775,1818901,1849963,2703458,2889343,2967837,0,5766039,3776629,2319404,2981139,2787808,3079215,2439116,1813924,1810887,1916699,0,2399380,1489220,2838173,5368489,5393324,3917268,2977589,1877846,0,0,2890839,3062128,6581554,2845097,3037161,3704376,1802610,5821193,5412759,2013782,5043320,1858637,2920933,3561353,4165743,2240432,3553990,2119357,2206389,5869495,4611888,2856546,6423157,1769916,0,1797276,0
10516738,6477866,10604821,8648392,7309279,3428339,0,0,0,0,9958502,0,3309328,2806601,11413774,9672162,5856974,9927276,0,10596858,10691079,10062625,6973462,3694506,9362465,3999668,1,9810967,4626977,3401975,10434369,5812799,9898290,3696502,3785042,7183508,0,5512596,4207002,3758443,6945830,7635812,6572871,4718127,2957431,4760580,6716199,118,3648273,6459390,2976357,3894119,4583995,5977236,8118611,0,6846572,10913581,3862756,6466074,4908427,6624287,4024824,4387970,3021691,3360278,0,4754875,0,7415223,10602548,5842522,8236490,6401271,3882800,0,0,6243226,7241259,11282751,6031133,8481287,10383118,3847513,8148825,9507728,4008288,10372468,3346478,6430346,7522448,9664330,6956349,0,4398222,3046190,9833512,4234225,5845390,11165516,3391287,0,3643083,0
7967815,7053758,4938902,5303026,5040144,5552576,0,0,0,0,5672130,0,5076606,5223487,5972637,7578821,6718269,5679579,0,5935289,8148104,6402052,5246811,3129685,5223060,5384409,1,6720147,7082172,5407332,6029638,5882868,5850303,4988241,5301482,8449827,0,6504272,5481249,5933971,5015902,5197672,6878476,5555904,2655106,4279100,4989594,119,4190058,7394033,4046288,5218890,5682667,5896829,8754015,0,5984893,5432455,5421711,6947078,5932604,5555011,5445111,6729220,3972217,4941154,0,5556159,0,8497262,6295309,5238871,5383198,6256224,5308387,0,0,6340550,8382981,8590120,5913543,9117526,5155514,5411077,6587584,6960945,4611776,5556785,4808527,6775525,5239185,4955685,8123781,0,5459028,5404968,7565061,3714289,5926787,8284416,4789156,0,5566501,0
